talemaade_udtryk,predicted_label,true_label,error_category,predicted_definition,true_definition,Discrepancy,yes_count,yes_options,A_response,B_response,C_response,D_response
klæder skaber folk,0,2,concrete misinterpretation,tøj er med til at forme en persons identitet,man vurderer folk (bl.a.) ud fra deres påklædning,DISCREPANCY,2,"A,C",1,0,1,0
gøre sine hoser grønne,0,2,concrete misinterpretation,farve sine strømper grønne,indsmigre sig; forsøge at få succes hos nogen,DISCREPANCY,0,,0,0,0,0
køre kanonerne i stilling,0,3,concrete misinterpretation,placere kanoner i en position hvor er klar til at blive affyret,gøre klar til en aktion eller vanskelig forhandling for at fremme egne interesser eller angribe andres,DISCREPANCY,2,"A,D",1,0,0,1
der må være en blonde,0,2,random definition,sørge for at fastholde nogens interesse eller indsats for noget,der er grænser for hvad man kan tillade sig,DISCREPANCY,0,,0,0,0,0
have det hele i munden,0,2,concrete misinterpretation,have en hel skive brød (med pålæg) i munden,kun snakke om noget i stedet for at handle,DISCREPANCY,0,,0,0,0,0
"skomager, bliv ved din læst",0,3,concrete misinterpretation,en skomager bør ikke forlade sit værksted,bruges for at minde om at man bør nøjes med at beskæftige sig med de ting som man har kvalifikationer til,DISCREPANCY,3,"A,C,D",1,0,1,1
ville give sin højre arm for noget,0,2,concrete misinterpretation,være parat til at lade sin højre arm amputere for en sag,være parat til at bringe et meget stort offer for at opnå noget; brændende ønske sig noget,DISCREPANCY,2,"A,C",1,0,1,0
de ti bud,0,3,concrete misinterpretation,de tilladte ti bud ved en auktion,"samling påbud, regler, forslag, løfter, ideer eller lignende med tilsigtet gennemslagskraft som om de kom fra en højere magt",DISCREPANCY,0,,0,0,0,0
være tredje hjul på vognen,2,3,concrete misinterpretation,"være et ekstra, tredje hjul på en vogn der kun har behov for to hjul for at køre","være overflødig eller generende, fx i forbindelse med et kærlighedsforhold",DISCREPANCY,2,"C,D",0,0,1,1
være på tynd is,0,2,concrete misinterpretation,stå på et tyndt isdække der er i fare for at revne,være i en situation hvor éns argumenter er utilstrækkelige eller uholdbare; være i en situation som man har svært ved at magte,DISCREPANCY,2,"A,C",1,0,1,0
få noget på halsen,0,3,concrete misinterpretation,få noget på sin hals,blive udsat for eller udsætte nogen for problemer eller besværligheder,DISCREPANCY,2,"A,D",1,0,0,1
"hvis man kan være en karl om natten, kan man også være en karl om dagen",0,2,concrete misinterpretation,"hvis man kan arbejder som medhjælper på en gård om natten, kan man også arbejde som medhjælper på en gård om dagen","hvis man vil more sig (om natten), må man tage konsekvensen og opføre sig ansvarligt (næste dag)",DISCREPANCY,0,,0,0,0,0
så du røgen,0,1,abstract misinterpretation,bruges som kommentar til nogen der netop har tabt en konkurrence,"bruges som kommentar hvis noget ikke er blevet til noget, eller nogen ikke har fået opfyldt sine forventninger",DISCREPANCY,0,,0,0,0,0
ikke tro nogen over en dørtærskel,0,2,concrete misinterpretation,ikke tro nogen der står i døren,overhovedet ikke tro på hvad nogen siger,DISCREPANCY,0,,0,0,0,0
"hvor der er hjerterum, er der husrum",2,3,concrete misinterpretation,hvis der er gæstfrit er der også rart at bo,"gæstfrihed hører til almindelig venlighed; gode mennesker trives, selv hvor pladsen er trang",DISCREPANCY,2,"C,D",0,0,1,1
det er lettere for en kamel at komme igennem et nåleøje end for en rig at komme ind i Guds rige,0,2,concrete misinterpretation,det er lettere at bevæge sig gennem en snæver passage end at komme ind i Paradis med penge eller andre værdigenstande,bruges for at udtrykke hvor svært det er for mennesket at give afkald på materielle goder til fordel for åndelige værdier,DISCREPANCY,2,"A,C",1,0,1,0
slå fast med syvtommersøm,0,2,abstract misinterpretation,tvinge en (kontroversiel) holdning igennem ved at fremføre argumenter,konstatere som en ubestridelig kendsgerning,DISCREPANCY,2,"A,C",1,0,1,0
målet helliger midlet,1,3,concrete misinterpretation,målet retfærdiggør metoden,et godt formål berettiger brugen af mindre fine midler,DISCREPANCY,2,"B,D",0,1,0,1
være helt ude i tovene,0,3,abstract misinterpretation,være fysisk udmattet (pga. hårdt arbejde); være udtømt for kræfter,være i en meget vanskelig situation som påvirker én psykisk,DISCREPANCY,2,"A,D",1,0,0,1
kysten er klar,2,3,concrete misinterpretation,kysten er klar til brug,der er ingen hindringer i vejen for at påbegynde en bestemt aktivitet,DISCREPANCY,2,"C,D",0,0,1,1
der gror ikke mos på en rullesten,0,1,concrete misinterpretation,"hvis en sten er i bevægelse, vil der ikke vokse mos på den","personer der lever et aktivt og energisk liv, sygner ikke hen (mentalt)",DISCREPANCY,2,"A,B",1,1,0,0
ligeud ad landevejen,2,3,concrete misinterpretation,kørselsretning uden sving og andre afvigelser fra ligeudkørsel,uden omsvøb; ukompliceret og ligetil,DISCREPANCY,2,"C,D",0,0,1,1
der går inflation i noget,0,3,concrete misinterpretation,priserne stiger på en specifik vare eller varetype,noget forringes eller mister prestige fordi det bliver lettere tilgængeligt eller mere udbredt,DISCREPANCY,2,"A,D",1,0,0,1
have store tanker om,0,1,concrete misinterpretation,tænke meget på,"værdsætte, beundre eller have store forventninger til",DISCREPANCY,0,,0,0,0,0
få en spand koldt vand i hovedet,2,3,concrete misinterpretation,blive overhældt med koldt vand fra en spand,uventet blive afvist; komme ud for en stor skuffelse,DISCREPANCY,2,"C,D",0,0,1,1
nye koste fejer bedst,2,0,concrete misinterpretation,en ny kost fejer bedre end en gammel og slidt kost,nyt er altid bedre end gammelt blot fordi det er nyt,DISCREPANCY,1,C,0,0,1,0
spille kong Gulerod,2,3,concrete misinterpretation,"spille en rolle som karakteren kong Gulerod, fx i et teaterstykke for børn","opføre sig på en indbildsk, overlegen eller arrogant måde",DISCREPANCY,2,"C,D",0,0,1,1
lægge billet ind på noget,0,2,random definition,rette egne fejl og mangler før man blander sig i andres,vise aktiv interesse for (at opnå) noget,DISCREPANCY,0,,0,0,0,0
ligge med næsen i vejret,0,3,concrete misinterpretation,ligge på ryggen,være død og begravet,DISCREPANCY,0,,0,0,0,0
give bolden op,2,1,concrete misinterpretation,opgive at finde en bold man har skudt langt væk,"sætte bolden i spil, ved spillets begyndelse eller efter en scoring",DISCREPANCY,1,C,0,0,1,0
få fingrene i fedtefadet,0,1,concrete misinterpretation,få fedtede fingre fordi man berører et beskidt fad,"rode sig ud i en vanskelig, ubehagelig eller tvivlsom situation",DISCREPANCY,0,,0,0,0,0
tungen på vægtskålen,0,1,abstract misinterpretation,en afgørende ingrediens der gør en madret velsmagende,den afgørende stemme ved en afstemning eller lignende,DISCREPANCY,0,,0,0,0,0
rene ord for pengene,0,3,random definition,blive vurderet og dernæst forkastet,udtalelse der ikke kan misforstås,DISCREPANCY,0,,0,0,0,0
"hvad man ikke ved, har man ikke ondt af",0,2,concrete misinterpretation,man kan ikke være ked af noget man ikke kender til,det er ofte bedre at leve i uvidenhed end at kende den ubehagelige sandhed,DISCREPANCY,2,"A,C",1,0,1,0
ikke lade solen gå ned over sin vrede,0,3,concrete misinterpretation,ikke gå vred i seng,glemme eller tilgive noget man er blevet vred over,DISCREPANCY,1,A,1,0,0,0
skyde sig selv i foden,0,2,concrete misinterpretation,skyde sig i foden for at gøre sig selv ukampdygtig -- historisk,ved en bevidst handling komme til at skade sig selv,DISCREPANCY,2,"A,C",1,0,1,0
våd som en druknet mus,0,3,concrete misinterpretation,lige så våd som en mus der er druknet,meget våd; gennemblødt,DISCREPANCY,2,"A,D",1,0,0,1
have kniven på struben,1,2,abstract misinterpretation,være tæt på at dø; befinde sig i en livstruende situation,"være presset til at gøre noget, fx under trusler eller med udsigt til et ubehageligt alternativ",DISCREPANCY,3,"B,C,D",0,1,1,1
det må briste eller bære,2,3,concrete misinterpretation,det er uvist om en bestemt konstruktion er tilpas kraftig til det intenderede formål,det må prøves uanset hvordan resultatet bliver,DISCREPANCY,2,"C,D",0,0,1,1
stå med håret ned ad nakken,0,3,concrete misinterpretation,stå med sit lange hår hængende løst,stå modløs og skuffet tilbage; være blevet svigtet eller narret,DISCREPANCY,1,A,1,0,0,0
uden for lands lov og ret,2,1,abstract misinterpretation,uden de regler der ellers ville gælde,i et øde område fjernt fra større byer,DISCREPANCY,1,C,0,0,1,0
den ene tjeneste er den anden værd,1,2,concrete misinterpretation,en tjeneste har samme værdi som en anden tjeneste,"hvis man gør andre en tjeneste, kan man forvente at de gør gengæld en anden gang",DISCREPANCY,2,"B,C",0,1,1,0
ikke fugls føde,0,3,abstract misinterpretation,"vanskelig eller uigennemskuelig opgave, aktivitet ellerlign.",ingenting; intet som helst,DISCREPANCY,0,,0,0,0,0
have penge på kistebunden,0,2,concrete misinterpretation,have kontanter gemt nederst i en kiste (skjult under kistens øvrige indhold),have en (stor) opsparet sum penge,DISCREPANCY,2,"A,C",1,0,1,0
trykke på pauseknappen,0,3,concrete misinterpretation,sætte noget på pause ved at trykke på en knap,midlertidigt sætte en udvikling i bero,DISCREPANCY,3,"A,B,D",1,1,0,1
grave grøfter,0,1,concrete misinterpretation,grave lange render langs med veje,skabe splid og uenighed mellem to parter,DISCREPANCY,2,"A,B",1,1,0,0
ramme hovedet på sømmet,0,3,concrete misinterpretation,ramme sømmet helt rigtigt (med en hammer eller lignende),udtrykke præcist; udtrykke det væsentlige,DISCREPANCY,3,"A,B,D",1,1,0,1
træde af på naturens vegne,0,2,random definition,eneste hankønsvæsen i en gruppe eller forsamling,trække sig tilbage for at forrette sin nødtørft,DISCREPANCY,0,,0,0,0,0
binde på hænder og fødder,2,0,concrete misinterpretation,binde hænderne og fødderne sammen,gøre fuldstændig afhængig,DISCREPANCY,2,"C,D",0,0,1,1
der bliver ingen bukser ud af det skind,2,3,concrete misinterpretation,det her skind er uegnet til fremstilling af bukser,"den idé, den plan, det forslag eller lignende bliver ikke til noget",DISCREPANCY,2,"C,D",0,0,1,1
en pæl i kødet,0,1,random definition,"det er uhyrligt, skandaløst og dybt rystende og kræver øjeblikkelig indgriben","en (medfødt) tilbøjelighed som anses for syndig, men som man ikke kan undslippe",DISCREPANCY,0,,0,0,0,0
få lange arme,0,3,concrete misinterpretation,strække sine arme ud i fuld længde,blive træt i armene af at bære på noget tungt,DISCREPANCY,0,,0,0,0,0
man skal høre meget før ørerne falder af,1,2,concrete misinterpretation,ørerne kan holde til meget støj; ørerne går ikke i stykker af at lytte (intenst),"bruges for at udtrykke forbavselse over at nogen kan sige eller fortælle om noget så mærkeligt, vanvittigt, sladderagtigt eller lignende",DISCREPANCY,2,"B,C",0,1,1,0
tomme tønder buldrer mest,0,1,concrete misinterpretation,tomme tønder larmer mere end fulde tønder,"det er ofte de personer som ved mindst eller har mindst betydning, der råber mest op eller gør sig mest gældende",DISCREPANCY,2,"A,B",1,1,0,0
med skindet på næsen,1,3,abstract misinterpretation,lige netop klare sig igennem en umiddelbart umulig situation,"uden at komme galt af sted, tabe anseelse, miste sin position eller lignende; uden at miste alle sine penge eller gå fallit",DISCREPANCY,2,"B,D",0,1,0,1
gå op i en spids,3,2,concrete misinterpretation,"være udformet på en måde så den del der rager opad, er tynd eller stikkende",udvikle sig i en retning hvor ingen løsning er mulig,DISCREPANCY,1,D,0,0,0,1
slå til plukfisk,0,2,random definition,"slække på sine ønsker, krav eller principper","tæske, gennembanke; ødelægge, nedbryde",DISCREPANCY,0,,0,0,0,0
varme nogens ører,0,3,abstract misinterpretation,bevirke at en person føler sig pinligt berørt,slå nogen (på siden af hovedet),DISCREPANCY,0,,0,0,0,0
få kærligheden at føle,1,3,concrete misinterpretation,"opleve kærlighed fra en forælder, en partner eller lignende",blive ramt af ubehagelige (selvforskyldte) konsekvenser; opleve livets barske realiteter,DISCREPANCY,1,B,0,1,0,0
"hvor der handles, der spildes",1,3,abstract misinterpretation,overforbrug belaster miljøet,der er altid omkostninger eller tab forbundet med at foretage sig noget,DISCREPANCY,2,"B,D",0,1,0,1
være karl for sin hat,0,3,abstract misinterpretation,optræde selvsikker og kompetent selvom man ikke er det,være selvsikker og kompetent,DISCREPANCY,0,,0,0,0,0
som en brækket arm,0,1,abstract misinterpretation,som gør en ked af det; sårende,elendigt; talentløst,DISCREPANCY,0,,0,0,0,0
man skal rejse sig ved det træ hvor man er faldet,3,1,concrete misinterpretation,man skal rejse sig der hvor man er faldet,"man skal kæmpe sig op med samme middel som var årsag til at man led nederlag, blev skadet eller lignende",DISCREPANCY,1,D,0,0,0,1
med omvendt fortegn,1,3,concrete misinterpretation,"med det modsatte fortegn, fx i matematisk opgave",karakteriseret ved at være diametralt modsat af noget på forhånd kendt eller netop omtalt,DISCREPANCY,2,"B,D",0,1,0,1
have gode kort på hånden,0,2,concrete misinterpretation,have en sammensætning af spillekort i hånden der giver gunstige chancer for at vinde et igangværende kortspil,have gode chancer; være i en fordelagtig situation,DISCREPANCY,2,"A,C",1,0,1,0
finde melodien,0,2,concrete misinterpretation,finde på en melodi til en sangtekst,"(atter) finde sammen i indbyrdes harmoni; (gen)finde indre glæde, ro, selvtillid eller lignende",DISCREPANCY,2,"A,C",1,0,1,0
en sund sjæl i et sundt legeme,0,2,concrete misinterpretation,en person er både mentalt og fysisk i god form,"åndelig og legemlig sundhed hænger sammen, og begge dele skal plejes",DISCREPANCY,2,"A,C",1,0,1,0
bo i en kuffert,1,3,abstract misinterpretation,bo på minimal plads og med minimalt forbrug af ressourcer,"rejse eller flytte meget tit, fx fordi éns arbejde kræver det; ikke have et fast sted at bo",DISCREPANCY,2,"B,D",0,1,0,1
ved kasse ét,1,0,random definition,mennesket tænker først og fremmest på sin egen fordel når det skal vælge,"bruges for at angive at en reaktion kommer omgående, konsekvent og ubønhørligt",DISCREPANCY,2,"B,D",0,1,0,1
logik for burhøns,0,3,abstract misinterpretation,noget der ikke kan misforstås,noget der er yderst let at forstå,DISCREPANCY,0,,0,0,0,0
hånd i hanke med,0,1,random definition,være stærkt optaget af at se fjernsyn,kontrol med; styr på,DISCREPANCY,0,,0,0,0,0
komme ind fra gaden,0,2,abstract misinterpretation,udføre til et uanmeldt kontrolbesøg,pludselig dukke op og gøre sig gældende i en bestemt sammenhæng uden forudgående erfaring,DISCREPANCY,0,,0,0,0,0
"når det regner på præsten, drypper det på degnen",0,2,abstract misinterpretation,ubehagelige situationer berører oftest flere mennesker på én gang,"en persons rigdom eller succes kommer også andre, mindre betydelige personer til gode",DISCREPANCY,1,A,1,0,0,0
"goddag mand, økseskaft",1,3,abstract misinterpretation,bruges for at udtrykke frustration,"bruges for at udtrykke at det nogen svarer, ikke har noget med spørgsmålet at gøre og således ikke giver nogen mening",DISCREPANCY,2,"B,D",0,1,0,1
gå i nogens fodspor,0,2,abstract misinterpretation,"efterligne nogen, fx i forhold til udtalelse og påklædning",følge nogens eksempel; føre en tradition videre efter nogen,DISCREPANCY,2,"A,C",1,0,1,0
komme ind med firetoget,1,3,random definition,så hurtigt eller kraftfuldt som muligt,"komme udefra, fx fra Provinsen til København, som ung og uerfaren og derfor lidt naiv",DISCREPANCY,1,B,0,1,0,0
toppen af kransekagen,2,3,concrete misinterpretation,den øverste del af en kransekage (med pynt),det bedste eller de dygtigste inden for et bestemt område,DISCREPANCY,2,"C,D",0,0,1,1
det glatte lag,2,3,concrete misinterpretation,et lag med en glat overflade,sønderlemmende kritik; voldsomt verbalt angreb,DISCREPANCY,1,C,0,0,1,0
gå i spagat over noget,0,2,abstract misinterpretation,være præget af en overdrevet trang til at udføre opgaver til perfektion,blive stærkt følelsesmæssigt påvirket af noget,DISCREPANCY,0,,0,0,0,0
hellere se éns hæl end éns tå,0,1,abstract misinterpretation,hellere løbe end gå,hellere se én gå end komme eller blive; helst være fri for éns selskab,DISCREPANCY,0,,0,0,0,0
tabe på gulvet,0,1,concrete misinterpretation,tabe en genstand på gulvet,ødelægge eller forspilde nogens chancer eller muligheder for noget,DISCREPANCY,1,A,1,0,0,0
slå knuder på sig selv,0,1,random definition,man bør ikke overdrive eller gå til yderligheder,gøre sig store anstrengelser (for at opnå noget bestemt),DISCREPANCY,0,,0,0,0,0
