talemaade_udtryk,predicted_label,true_label,error_category,predicted_definition,true_definition,Discrepancy,yes_count,yes_options,A_response,B_response,C_response,D_response
den rygende pistol,0,2,random definition,overrumple nogen og derved afsløre vedkommende i en pinlig situation eller sammenhæng; overraske nogen og derved gennemføre noget mod vedkommendes vilje,det synlige eller på anden måde uigendrivelige bevis der fælder forbryderen i en kriminalsag,DISCREPANCY,4,"A,B,C,D",1,1,1,1
svæve over vandene,0,1,random definition,diskret eller ubemærket overvære noget,præge noget; være mærkbar,DISCREPANCY,0,,0,0,0,0
give en gang lak,0,2,random definition,hurtigt og uden tid til forberedelse,give en omgang klø eller skældud,DISCREPANCY,2,"A,C",1,0,1,0
løbe om hjørner med,0,1,random definition,for fuld kraft; uden hæmninger eller begrænsninger,narre; snyde,DISCREPANCY,2,"A,B",1,1,0,0
under én hat,1,3,abstract misinterpretation,bruges som udtryk for at flere personer har samme holdning eller overbevisning,"på samme sted, under samme organisation eller under samme institution",DISCREPANCY,2,"B,D",0,1,0,1
ikke være mange sure sild værd,0,1,concrete misinterpretation,have en værdi der svarer til et lille antal sild,være udmattet eller nedtrykt,DISCREPANCY,2,"A,D",1,0,0,1
de bonede gulve,0,2,random definition,det er for sent at prøve at forhindre noget når skaden er sket,"de finere kredse, etablissementet; inderkredsen (i en politisk magtstruktur)",DISCREPANCY,4,"A,B,C,D",1,1,1,1
hul på bylden,0,3,random definition,påbegynde et (stort) bygge- eller anlægsarbejde,gang i noget der har voldt besvær eller været et problem,DISCREPANCY,3,"A,B,D",1,1,0,1
være tynd i papirerne,0,2,abstract misinterpretation,være uden interessant og vigtigt indhold - om tekst,"være usikker, uvidende, dårligt forberedt eller lignende",DISCREPANCY,4,"A,B,C,D",1,1,1,1
synge på sidste vers,0,3,random definition,mod og styrke sådan som en rigtig mand menes at have det,nærme sig afslutningen,DISCREPANCY,2,"A,D",1,0,0,1
spildte Guds ord på Balle-Lars,0,2,concrete misinterpretation,Balle-Lars forstår ikke det kristne budskab,forgæves forsøg på at overbevise eller belære en person der synes ganske uimodtagelig for fornuft,DISCREPANCY,2,"A,C",1,0,1,0
hæve barren,0,2,abstract misinterpretation,(forsøge at) blive i bedre humør; bestræbe sig på at være positivt indstillet,øge ambitionerne eller kravene; hæve standarden,DISCREPANCY,4,"A,B,C,D",1,1,1,1
blind høne finder også korn,0,3,abstract misinterpretation,"hvis den ene sans ikke slår til, må en anden bringes i spil","bruges ofte (selv)ironisk for at udtrykke at selv en person uden de store forudsætninger, med lidt held, kan løse en bestemt opgave",DISCREPANCY,3,"A,B,D",1,1,0,1
mester for noget,0,3,abstract misinterpretation,"person der (uden at ville det) er skyld i en negativ udvikling, hændelse eller lignende","person der har skabt, designet eller udtænkt et kunstnerisk værk eller noget andet der gør indtryk",DISCREPANCY,4,"A,B,C,D",1,1,1,1
trække en streg i sandet,0,1,concrete misinterpretation,med sin hånd eller fod lave en synlig bane i en overflade dækket af sand,tydeligt og klart markere en grænse for noget,DISCREPANCY,2,"A,B",1,1,0,0
holde på hat og briller,0,3,random definition,være på sporet af en sags rette sammenhæng; være inde på noget af det rigtige,passe på fordi noget (voldsomt) begynder eller finder sted,DISCREPANCY,4,"A,B,C,D",1,1,1,1
andre boller på suppen,2,3,random definition,hjælpe nogen der befinder sig i en vanskelig situation,noget der er nyt og helt forskelligt fra det man kender til i den pågældende sammenhæng,DISCREPANCY,2,"C,D",0,0,1,1
ligne hinanden som to dråber vand,2,3,concrete misinterpretation,være ens på samme måde som to vanddråber er ens,ligne hinanden fuldstændig,DISCREPANCY,2,"C,D",0,0,1,1
en dråbe i havet,0,1,concrete misinterpretation,en dråbe vand i havet,en ubetydelighed; meget lidt,DISCREPANCY,3,"A,B,C",1,1,1,0
lavthængende frugter,1,2,abstract misinterpretation,"personer som fra livets begyndelse har haft dårlige vilkår, og som har oplevet voldsom modgang","mål eller resultater der er lette og hurtige at nå, og som ikke kræver den store indsats",DISCREPANCY,3,"B,C,D",0,1,1,1
"når man ikke vil høre, må man føle",0,2,abstract misinterpretation,sommetider er det bedre at prøve sig frem,"når man ikke vil lytte til andres råd, må man selv bære de ubehagelige konsekvenser",DISCREPANCY,3,"A,C,D",1,0,1,1
nød lærer nøgen kvinde at spinde,0,1,abstract misinterpretation,håndarbejde er ikke kun fornøjelse,"hvis man i tilstrækkelig høj grad ønsker at løse et bestemt problem, skal man nok også finde en måde at gøre det på",DISCREPANCY,4,"A,B,C,D",1,1,1,1
det fagreste træ i skoven,2,1,abstract misinterpretation,"den person der udpeges som den smukkeste blandt en gruppe mennesker, fx i en konkurrence",det som er vigtigst og betyder mest,DISCREPANCY,1,C,0,0,1,0
lakrids mellem tæerne,0,3,random definition,ikke falde i en persons smag,snavs mellem tæerne; snavsede fødder,DISCREPANCY,3,"A,B,D",1,1,0,1
få skovlen under,0,1,abstract misinterpretation,komme i gang med et foretagende,besejre eller få overtaget over,DISCREPANCY,4,"A,B,C,D",1,1,1,1
arbejde så blodet springer fra neglene,1,2,concrete misinterpretation,arbejde så hårdt at fingrene bløder,(arbejde) hårdt og intensivt,DISCREPANCY,2,"B,C",0,1,1,0
være i lommen på,1,3,abstract misinterpretation,være betaget af en person; beundre en person,være helt afhængig af,DISCREPANCY,2,"B,D",0,1,0,1
grus i maskineriet,0,2,concrete misinterpretation,"grus, jord, sand ellerlign. i et maskineri","modgang, problemer, forhindringer eller lignende",DISCREPANCY,3,"A,C,D",1,0,1,1
hele dynen,0,3,random definition,fare omkring; være meget foretagsom,alt det som er relevant i en bestemt sammenhæng,DISCREPANCY,4,"A,B,C,D",1,1,1,1
puste til gløderne,0,2,concrete misinterpretation,puste til en ild der er ved at dø ud,få en strid til at udvikle sig (igen),DISCREPANCY,4,"A,B,C,D",1,1,1,1
næsten ikke kunne få armene ned,1,2,abstract misinterpretation,være meget beruset,være overordentlig glad pga. stor succes,DISCREPANCY,3,"B,C,D",0,1,1,1
de forhåndenværende søms princip,0,1,random definition,en god begyndelse på noget forøger muligheden for en vellykket fortsættelse og afslutning,fremgangsmåde hvor man nøjes med de begrænsede midler der umiddelbart er til rådighed,DISCREPANCY,3,"A,B,D",1,1,0,1
komme ud af røret,0,1,abstract misinterpretation,afslutte en længerevarende telefonsamtale (som man finder ubehagelig eller kedelig),komme af sted efter lang tids nølen; langt om længe tage sig sammen,DISCREPANCY,3,"A,B,C",1,1,1,0
skulle have skolepengene tilbage,0,1,abstract misinterpretation,have penge til gode hos en offentlig instans,være dum eller uvidende om et bestemt forhold,DISCREPANCY,3,"A,B,C",1,1,1,0
skære ud i pap,0,1,concrete misinterpretation,forme en figur i materialet pap,forklare eller meddele på en meget grundig og letforståelig måde,DISCREPANCY,3,"A,B,C",1,1,1,0
gå hjem og vug,0,1,abstract misinterpretation,bruges til at overtale en (små)syg person til at gå hjem i seng,"forsvind; gå hjem, for der er ikke brug for dig",DISCREPANCY,3,"A,B,D",1,1,0,1
krydse nogens vej,0,3,random definition,overhovedet ikke til nytte; helt overflødigt eller forgæves,mødes med nogen undervejs,DISCREPANCY,2,"A,B",1,1,0,0
være i stødet,0,2,random definition,"anstrenge sig for at formulere noget, fx fordi det er svært at udtale eller fordi man vil undvige et pågående spørgsmål",være oplagt (til noget),DISCREPANCY,3,"A,B,C",1,1,1,0
være højt på strå,0,3,random definition,ikke afsløre en hemmelighed eller lignende mens man lever,"være indflydelsesrig, rig eller heldig og evt. opføre sig overlegent",DISCREPANCY,3,"A,C,D",1,0,1,1
ikke være nogens kop te,1,3,abstract misinterpretation,være ubekendt; eksistere uden nogens vidende,ikke være noget eller nogen som nogen bryder sig om eller er interesseret i,DISCREPANCY,2,"B,D",0,1,0,1
være høj i hatten,1,2,abstract misinterpretation,føle sig udstillet og til grin pga. sin påklædning,være overlegen eller arrogant; føle sig betydningsfuld,DISCREPANCY,2,"B,C",0,1,1,0
være ved sine sansers fulde brug,0,2,concrete misinterpretation,have kontrol med og udbytte af alle fem sanser,være i stand til at tænke klart; være tilregnelig,DISCREPANCY,2,"A,C",1,0,1,0
for fulde gardiner,0,3,random definition,narre nogen til at gøre noget; manipulere med nogen,for fuld kraft; uden hæmninger eller begrænsninger,DISCREPANCY,4,"A,B,C,D",1,1,1,1
én fugl i hånden er bedre end ti på taget,0,3,abstract misinterpretation,det er mere værd at have én partner man stoler på end mange løse forhold,"de (få) ting man ejer eller har opnået, har større værdi end de (mange) ting som man tror man kan få",DISCREPANCY,2,"A,D",1,0,0,1
med arme og ben,0,3,random definition,man skal ikke give nogen noget som vedkommende i forvejen har nok af eller let adgang til,af al magt; uhæmmet,DISCREPANCY,3,"A,B,D",1,1,0,1
have alle trumfer på hånden,2,3,concrete misinterpretation,have de bedst mulige kort på hånden i et kortspil,have meget gode chancer; være i en meget fordelagtig situation,DISCREPANCY,2,"C,D",0,0,1,1
med lodder og trisser,0,3,concrete misinterpretation,holdt på plads vha. lodder og trisser -- om fortøjning eller andet tovværk,"med (lidt held og) hvad man kan finde på af hjælpemidler; på bedst mulige, men ikke altid helt vellykkede måde; med kniberi",DISCREPANCY,3,"A,C,D",1,0,1,1
belåne til op over skorstenen,0,2,abstract misinterpretation,låne mange penge ud,belåne en bygning eller anden fast ejendom helt op til eller over dens værdi,DISCREPANCY,3,"A,B,C",1,1,1,0
på sine grædende knæ,0,1,random definition,bruges for at afvise samtalepartnerens forbehold og bekymrede forestillinger om fremtiden,med tilkendegivelse af al tænkelig ydmyghed; meget indtrængende,DISCREPANCY,3,"A,B,C",1,1,1,0
køre med klatten,0,1,abstract misinterpretation,køre på en hensynsløs og uansvarlig måde,være suveræn til noget; brillere,DISCREPANCY,3,"A,B,D",1,1,0,1
behandle nogen som et råddent æg,0,1,random definition,stå modløs og skuffet tilbage; være blevet svigtet eller narret,omgås en person på en meget diplomatisk og forsigtig måde fordi vedkommende er meget nærtagende og besværlig,DISCREPANCY,4,"A,B,C,D",1,1,1,1
kigge nogen i kortene,0,2,random definition,meddele noget åbent og uden omsvøb; få sandheden på bordet,aflure nogen deres hensigter eller fremgangsmåde,DISCREPANCY,4,"A,B,C,D",1,1,1,1
være i ilden,1,3,abstract misinterpretation,være i fuld gang med at skabe eller udvikle noget nyt,være på en hård prøve; være i centrum for nærgående opmærksomhed,DISCREPANCY,2,"B,D",0,1,0,1
i den kolde sne,0,2,abstract misinterpretation,på et tidspunkt forholdsvis tidligt om morgenen,i en tilstand af udelukkelse og forladthed,DISCREPANCY,2,"A,C",1,0,1,0
man kan ikke lære en gammel hund nye kunster,0,2,concrete misinterpretation,det er ikke muligt at oplære en hund i ny adfærd efter den har nået en vis alder,en (ældre) person med indgroede vaner har svært ved at omstille sig og lære nyt,DISCREPANCY,3,"A,C,D",1,0,1,1
ikke kunne huske fra næse til mund,1,2,abstract misinterpretation,have en meget begrænset viden,have en meget dårlig hukommelse,DISCREPANCY,2,"B,C",0,1,1,0
lægge sin klamme hånd på noget,1,3,abstract misinterpretation,snavse noget til der ellers var rent,"bemægtige sig noget, fx penge; få magten over noget",DISCREPANCY,2,"B,D",0,1,0,1
en streg i luften,0,1,concrete misinterpretation,en kondensstribe på himlen skabt af en flyvemaskine,en meget tynd person,DISCREPANCY,2,"A,D",1,0,0,1
gammel kærlighed ruster ikke,0,3,concrete misinterpretation,ældre personers kærlige følelser kan ikke ødelægges,én gang opstået kærlighed forgår ikke på trods af adskillelse eller tidens gang,DISCREPANCY,3,"A,B,D",1,1,0,1
komme på slagtebænken,1,3,abstract misinterpretation,deltage i (hård) fysisk træning,"blive ødelagt, nedlagt, opsplittet, hængt ud i pressen eller lignende",DISCREPANCY,2,"B,D",0,1,0,1
være solgt til stanglakrids,0,1,random definition,lade nogle ubehagelige omstændigheder gå ud over andre; overlade ansvaret for en ubehagelig afgørelse til en anden,være ekstremt fascineret af eller forelsket i,DISCREPANCY,4,"A,B,C,D",1,1,1,1
rive nogen noget i næsen,1,3,abstract misinterpretation,under falske forudsætninger få nogen til at tro på at noget forholder sig på en bestemt måde,lade nogen høre for noget; kritisere nogen for noget,DISCREPANCY,3,"B,C,D",0,1,1,1
"når solen går ned i en sæk, står den op i en bæk",0,1,abstract misinterpretation,"hvis man går vred i seng, er man trist næste morgen","når solen går ned bag store, mørke skyer, kan man vente regnvejr den følgende dag",DISCREPANCY,3,"A,B,C",1,1,1,0
noget er ikke det papir værd det er skrevet på,1,3,concrete misinterpretation,en fysisk tekst er ikke sin produktionsværdi værd,"noget er (næsten) værdiløst, indholdsløst, ubrugeligt eller lignende",DISCREPANCY,2,"B,D",0,1,0,1
få en på frakken,0,2,random definition,narre; snyde,få tæv,DISCREPANCY,3,"A,B,C",1,1,1,0
hvem har tisset på din sukkermad,1,2,abstract misinterpretation,bruges for at påpege at nogen er (meget) kræsen,hvorfor er du sur; er der nogen der har fornærmet dig,DISCREPANCY,3,"B,C,D",0,1,1,1
have det som blommen i et æg,1,2,concrete misinterpretation,være indelukket på samme måde som en æggeblomme,leve trygt og godt,DISCREPANCY,2,"B,C",0,1,1,0
stå med det ene ben i graven,2,3,abstract misinterpretation,være ved at give op,være nær ved at dø,DISCREPANCY,2,"C,D",0,0,1,1
munden står ikke stille på nogen,0,3,abstract misinterpretation,"nogen er dygtig til at skabe kontakter og netværk, især for at fremme egne interesser",nogen snakker hele tiden,DISCREPANCY,3,"A,C,D",1,0,1,1
der er ingen smalle steder,1,2,random definition,blive ramt af ubehagelige (selvforskyldte) konsekvenser; opleve livets barske realiteter,"der er rigeligt, og der bliver ikke sparet på noget",DISCREPANCY,2,"B,C",0,1,1,0
gå på akkord,1,2,concrete misinterpretation,gå en vis distance alt afhængig af betaling,"slække på sine ønsker, krav eller principper",DISCREPANCY,3,"B,C,D",0,1,1,1
være vaccineret med en grammofonstift,0,2,concrete misinterpretation,være blevet stukket med en grammofonstift,være tilbøjelig til at snakke for meget,DISCREPANCY,3,"A,C,D",1,0,1,1
gå ud som et lys,0,2,concrete misinterpretation,blive slukket eller afbrudt brat,pludselig miste bevidstheden,DISCREPANCY,2,"A,C",1,0,1,0
krybe langs panelerne,0,1,abstract misinterpretation,bevæge sig langsomt på alle fire,"opføre sig meget tilbageholdende, fx af generthed eller skamfuldhed",DISCREPANCY,3,"A,B,D",1,1,0,1
tabe både næse og mund,0,2,random definition,"vise en ukendt, ofte ubehagelig eller problematisk, men sand side af noget eller nogen, evt. sig selv",blive meget forbavset eller benovet over noget,DISCREPANCY,3,"A,B,C",1,1,1,0
ligge lige til højrebenet,0,3,random definition,bedrage en mand ved at have et seksuelt forhold til hans kone,være en indlysende og nærliggende mulighed,DISCREPANCY,4,"A,B,C,D",1,1,1,1
tage pungen frem,0,2,concrete misinterpretation,fremdrage sin pengepung for at betale for bestemte varer eller en bestemt ydelse,(modvilligt) betale et stort beløb,DISCREPANCY,3,"A,B,C",1,1,1,0
"villa, Volvo og vovhund",0,1,concrete misinterpretation,eje villa og en bil af mærket Volvo og holde hund som kæledyr,"bruges som symbol på det etablerede og trygge, lidt kedelige liv med fast arbejde og statussymboler",DISCREPANCY,3,"A,B,C",1,1,1,0
kæden er hoppet af,1,3,abstract misinterpretation,"noget er gået i stykker, men kan repareres igen","et forløb, et foretagende eller lignende er gået i stå eller har udviklet sig uheldigt",DISCREPANCY,3,"B,C,D",0,1,1,1
døden skal have en årsag,1,2,abstract misinterpretation,bruges for at udtrykke at noget bliver grundigt forklaret,bruges for at udtrykke en almenmenneskelig tendens til at fremhæve én simpel og afgrænset årsagssammenhæng som forklaring på noget,DISCREPANCY,2,"B,C",0,1,1,0
der ryger en finke af panden,0,1,random definition,dø,"nogen kommer til at sige eller gøre noget dumt, især af tankeløshed",DISCREPANCY,3,"A,B,D",1,1,0,1
få enden på komedie,0,1,abstract misinterpretation,udbryde voldsom latter; grine højlydt,få en endefuld; få prygl,DISCREPANCY,3,"A,B,C",1,1,1,0
bide sig fast,0,1,abstract misinterpretation,kæmpe ihærdigt med noget der er svært,blive en fast bestanddel af noget; fastholde en erobret position,DISCREPANCY,2,"A,B",1,1,0,0
slå to fluer med ét smæk,0,2,concrete misinterpretation,"ramme to fluer i én, samlet bevægelse med hånden, fx med en fluesmækker",opnå to mål eller fordele med en enkelt handling,DISCREPANCY,2,"A,C",1,0,1,0
stå malet i ansigtet på nogen,1,3,random definition,hverken noget drikkeligt eller noget spiseligt,fremgå klart af nogens ansigtsudtryk,DISCREPANCY,3,"B,C,D",0,1,1,1
noget kan blive både en dreng og en pige,1,2,abstract misinterpretation,bruges for at udtrykke usikkerhed om hvorvidt man kan lide noget,"et udfald er forbundet med samme usikkerhed som kønnet på et endnu ufødt barn, dvs. er ikke til at forudsige",DISCREPANCY,3,"B,C,D",0,1,1,1
vride bananen,0,2,concrete misinterpretation,"presse ud af en banan (regnorm, ..)",tisse,DISCREPANCY,4,"A,B,C,D",1,1,1,1
ikke lægge fingrene imellem,0,3,random definition,man skal ikke bygge noget på forventninger eller usikre formodninger,"ikke være skånsom eller tilbageholdende, men direkte i ord eller handling",DISCREPANCY,3,"A,B,D",1,1,0,1
åbne sit hjerte,0,1,abstract misinterpretation,udtrykke stærke og kærlige følelser; erklære sin kærlighed til en person,betro sig,DISCREPANCY,2,"A,B",1,1,0,0
helt ude i skoven,1,2,abstract misinterpretation,i et øde område langt fra byer; i den vilde natur,"uden fornuft, mening eller forbindelse med virkeligheden; helt gal",DISCREPANCY,2,"B,C",0,1,1,0
klæder skaber folk,0,2,concrete misinterpretation,tøj er med til at forme en persons identitet,man vurderer folk (bl.a.) ud fra deres påklædning,DISCREPANCY,2,"A,C",1,0,1,0
"højt at flyve, dybt at falde",0,2,abstract misinterpretation,i sidste ende går det ud over dig selv hvis du opfører dig dårligt,"jo større ambitioner eller succes man har, desto mere risikerer man at miste",DISCREPANCY,3,"A,C,D",1,0,1,1
køre kanonerne i stilling,0,3,concrete misinterpretation,placere kanoner i en position hvor er klar til at blive affyret,gøre klar til en aktion eller vanskelig forhandling for at fremme egne interesser eller angribe andres,DISCREPANCY,3,"A,C,D",1,0,1,1
en pose blandede bolsjer,0,2,random definition,"når alting ser værst ud, er det lige før det begynder at blive bedre",helhed bestående af indbyrdes meget forskelligartede elementer,DISCREPANCY,4,"A,B,C,D",1,1,1,1
der må være en blonde,0,2,random definition,sørge for at fastholde nogens interesse eller indsats for noget,der er grænser for hvad man kan tillade sig,DISCREPANCY,4,"A,B,C,D",1,1,1,1
gå op og ned som kong Volmers røv,0,2,random definition,vove sig et sted hen i kort tid; komme på et kort besøg,"bruges om noget der er ujævnt, eller om et stykke arbejde der er dårligt udført",DISCREPANCY,3,"A,B,C",1,1,1,0
have det hele i munden,1,2,random definition,"skaffe eller samle til et bestemt formål, ofte hurtigt eller på vanskelige betingelser",kun snakke om noget i stedet for at handle,DISCREPANCY,2,"B,C",0,1,1,0
"skomager, bliv ved din læst",0,3,concrete misinterpretation,en skomager bør ikke forlade sit værksted,bruges for at minde om at man bør nøjes med at beskæftige sig med de ting som man har kvalifikationer til,DISCREPANCY,3,"A,C,D",1,0,1,1
brænde sit lys i begge ender,2,3,abstract misinterpretation,vedligeholde en relation til to parter der har brudt med hinanden,arbejde med for mange ting samtidig; slide sig op,DISCREPANCY,2,"C,D",0,0,1,1
strø sand på,0,1,random definition,have visse fejl og mangler som ikke tidligere var der,bringe en (ubehagelig) sag til afslutning eller ud af verden; undlade at gøre mere ved det,DISCREPANCY,3,"A,B,C",1,1,1,0
være tredje hjul på vognen,2,3,concrete misinterpretation,"være et ekstra, tredje hjul på en vogn der kun har behov for to hjul for at køre","være overflødig eller generende, fx i forbindelse med et kærlighedsforhold",DISCREPANCY,2,"C,D",0,0,1,1
være på tynd is,0,2,concrete misinterpretation,stå på et tyndt isdække der er i fare for at revne,være i en situation hvor éns argumenter er utilstrækkelige eller uholdbare; være i en situation som man har svært ved at magte,DISCREPANCY,2,"A,C",1,0,1,0
få noget på halsen,0,3,concrete misinterpretation,få noget på sin hals,blive udsat for eller udsætte nogen for problemer eller besværligheder,DISCREPANCY,3,"A,B,D",1,1,0,1
stikke piben ind,0,1,concrete misinterpretation,pakke sin pibe væk (fx i en jakkelomme),blive mere forsigtig og tilbageholdende; (begynde at) holde lav profil,DISCREPANCY,4,"A,B,C,D",1,1,1,1
komme gennem kødhakkeren,1,2,abstract misinterpretation,passere igennem fordøjelsessystemet,blive udsat for en grov behandling eller gennemgribende forandring,DISCREPANCY,3,"B,C,D",0,1,1,1
"hvis man kan være en karl om natten, kan man også være en karl om dagen",1,2,abstract misinterpretation,"har man skrevet under på en kontrakt, er man forpligtet til at overholde den","hvis man vil more sig (om natten), må man tage konsekvensen og opføre sig ansvarligt (næste dag)",DISCREPANCY,3,"B,C,D",0,1,1,1
så du røgen,0,1,abstract misinterpretation,bruges som kommentar til nogen der netop har tabt en konkurrence,"bruges som kommentar hvis noget ikke er blevet til noget, eller nogen ikke har fået opfyldt sine forventninger",DISCREPANCY,2,"A,B",1,1,0,0
ikke tro nogen over en dørtærskel,0,2,concrete misinterpretation,ikke tro nogen der står i døren,overhovedet ikke tro på hvad nogen siger,DISCREPANCY,0,,0,0,0,0
vide hvordan kagen skal skæres,0,1,random definition,få nogen til at tro på en umulig plan eller fremtidsdrøm; give nogen falske forhåbninger,"vide hvordan et problem løses, eller hvordan noget gøres på den rigtige måde, fx hvordan samfundsgoder eller løn fordeles mest retfærdigt",DISCREPANCY,2,"A,B",1,1,0,0
"hvor der er hjerterum, er der husrum",0,3,abstract misinterpretation,det er at foretrække at bo sammen med sin partner,"gæstfrihed hører til almindelig venlighed; gode mennesker trives, selv hvor pladsen er trang",DISCREPANCY,3,"A,C,D",1,0,1,1
det er lettere for en kamel at komme igennem et nåleøje end for en rig at komme ind i Guds rige,0,2,concrete misinterpretation,det er lettere at bevæge sig gennem en snæver passage end at komme ind i Paradis med penge eller andre værdigenstande,bruges for at udtrykke hvor svært det er for mennesket at give afkald på materielle goder til fordel for åndelige værdier,DISCREPANCY,2,"A,C",1,0,1,0
dele sol og vind lige,0,1,abstract misinterpretation,sørge for at rose nogen før og efter man kritiserer dem,være retfærdig; tilgodese alle parter i en sag,DISCREPANCY,2,"A,B",1,1,0,0
målet helliger midlet,1,3,concrete misinterpretation,målet retfærdiggør metoden,et godt formål berettiger brugen af mindre fine midler,DISCREPANCY,2,"B,D",0,1,0,1
være helt ude i tovene,0,3,abstract misinterpretation,være fysisk udmattet (pga. hårdt arbejde); være udtømt for kræfter,være i en meget vanskelig situation som påvirker én psykisk,DISCREPANCY,3,"A,B,D",1,1,0,1
falde på et tørt sted,1,2,abstract misinterpretation,gå i stykker; blive ødelagt,være meget tiltrængt og velkommen,DISCREPANCY,2,"B,C",0,1,1,0
kysten er klar,0,3,abstract misinterpretation,der er passage et sted hvor der før var lukket,der er ingen hindringer i vejen for at påbegynde en bestemt aktivitet,DISCREPANCY,2,"A,D",1,0,0,1
der gror ikke mos på en rullesten,0,1,concrete misinterpretation,"hvis en sten er i bevægelse, vil der ikke vokse mos på den","personer der lever et aktivt og energisk liv, sygner ikke hen (mentalt)",DISCREPANCY,3,"A,B,C",1,1,1,0
ind til benet,0,1,abstract misinterpretation,"vedr. kroppen, især i modsætning til sindet",til det centrale eller væsentlige af noget,DISCREPANCY,4,"A,B,C,D",1,1,1,1
ligeud ad landevejen,1,3,abstract misinterpretation,noget der kan udvikle sig hurtigt (i negativ retning),uden omsvøb; ukompliceret og ligetil,DISCREPANCY,3,"B,C,D",0,1,1,1
skruen uden ende,0,1,abstract misinterpretation,teaterstykke eller anden forestilling som man synes er for langt,selvforstærkende uheldig situation som man ikke umiddelbart kan komme ud af,DISCREPANCY,3,"A,B,D",1,1,0,1
have store tanker om,0,1,concrete misinterpretation,tænke meget på,"værdsætte, beundre eller have store forventninger til",DISCREPANCY,2,"A,B",1,1,0,0
med pistolen for brystet,0,1,concrete misinterpretation,i besiddelse af et skjult skydevåben,"i en situation hvor man er presset til at gøre noget, ofte under trusler eller med udsigt til et ubehageligt alternativ",DISCREPANCY,4,"A,B,C,D",1,1,1,1
få en spand koldt vand i hovedet,1,3,abstract misinterpretation,pludselig komme ud af en rus,uventet blive afvist; komme ud for en stor skuffelse,DISCREPANCY,2,"B,D",0,1,0,1
nye koste fejer bedst,1,0,random definition,"erkende at have lidt et (økonomisk) tab, mistet en mulighed eller lignende",nyt er altid bedre end gammelt blot fordi det er nyt,DISCREPANCY,2,"B,C",0,1,1,0
store ord og fedt flæsk,0,3,abstract misinterpretation,charmerende opførsel eller smiger,tom snak eller tomme løfter,DISCREPANCY,3,"A,C,D",1,0,1,1
spille kong Gulerod,0,3,abstract misinterpretation,lave ballade; lave et stort postyr,"opføre sig på en indbildsk, overlegen eller arrogant måde",DISCREPANCY,3,"A,B,D",1,1,0,1
