talemaade_udtryk,predicted_label,true_label,error_category,predicted_definition,true_definition,Discrepancy,yes_count,yes_options,A_response,B_response,C_response,D_response
bide nogen i haserne,2,3,concrete misinterpretation,bide nogen nederst i benet,komme lige efter nogen; være meget tæt på nogen; presse nogen,DISCREPANCY,2,"C,D",0,0,1,1
"hvad man ikke ved, har man ikke ondt af",0,2,concrete misinterpretation,man kan ikke være ked af noget man ikke kender til,det er ofte bedre at leve i uvidenhed end at kende den ubehagelige sandhed,DISCREPANCY,2,"A,C",1,0,1,0
ikke lade solen gå ned over sin vrede,0,3,concrete misinterpretation,ikke gå vred i seng,glemme eller tilgive noget man er blevet vred over,DISCREPANCY,2,"A,D",1,0,0,1
skyde sig selv i foden,0,2,concrete misinterpretation,skyde sig i foden for at gøre sig selv ukampdygtig -- historisk,ved en bevidst handling komme til at skade sig selv,DISCREPANCY,2,"A,C",1,0,1,0
våd som en druknet mus,0,3,concrete misinterpretation,lige så våd som en mus der er druknet,meget våd; gennemblødt,DISCREPANCY,3,"A,C,D",1,0,1,1
uden for lands lov og ret,0,1,concrete misinterpretation,uden for et lands grænser og derfor ikke underlagt dets love,i et øde område fjernt fra større byer,DISCREPANCY,2,"A,C",1,0,1,0
trykke på pauseknappen,0,3,concrete misinterpretation,sætte noget på pause ved at trykke på en knap,midlertidigt sætte en udvikling i bero,DISCREPANCY,3,"A,B,D",1,1,0,1
grave grøfter,0,1,concrete misinterpretation,grave lange render langs med veje,skabe splid og uenighed mellem to parter,DISCREPANCY,1,A,1,0,0,0
"ude af øje, ude af sind",1,3,abstract misinterpretation,bruges om en situation hvor man undlader at forholde sig til noget ubehageligt,"det som ikke er synligt eller nærværende, bliver hurtigt glemt",DISCREPANCY,2,"B,D",0,1,0,1
tomme tønder buldrer mest,0,1,concrete misinterpretation,tomme tønder larmer mere end fulde tønder,"det er ofte de personer som ved mindst eller har mindst betydning, der råber mest op eller gør sig mest gældende",DISCREPANCY,2,"A,B",1,1,0,0
gå op i en spids,0,2,abstract misinterpretation,"gå meget op i detaljer; lægge stor vægt på detaljer og nuancer, fx i forbindelse med løsningen af et problem",udvikle sig i en retning hvor ingen løsning er mulig,DISCREPANCY,3,"A,C,D",1,0,1,1
slå til plukfisk,0,2,random definition,"slække på sine ønsker, krav eller principper","tæske, gennembanke; ødelægge, nedbryde",DISCREPANCY,2,"A,C",1,0,1,0
varme nogens ører,0,3,abstract misinterpretation,bevirke at en person føler sig pinligt berørt,slå nogen (på siden af hovedet),DISCREPANCY,1,A,1,0,0,0
"hvor der handles, der spildes",0,3,concrete misinterpretation,der spildes det samme sted hvor handlinger finder sted,der er altid omkostninger eller tab forbundet med at foretage sig noget,DISCREPANCY,2,"A,D",1,0,0,1
asfaltere mens man kører,1,2,concrete misinterpretation,lægge asfalt for at skabe den vej man kører ad,tilpasse sig og tage nye beslutninger i en proces hvor vilkårene løbende ændrer sig,DISCREPANCY,2,"B,C",0,1,1,0
med omvendt fortegn,1,3,concrete misinterpretation,"med det modsatte fortegn, fx i matematisk opgave",karakteriseret ved at være diametralt modsat af noget på forhånd kendt eller netop omtalt,DISCREPANCY,2,"B,D",0,1,0,1
man skal ikke give bagerbørn hvedebrød,0,3,concrete misinterpretation,børn af bagere har (formentlig) fri adgang til hvidt brød,man skal ikke give nogen noget som vedkommende i forvejen har nok af eller let adgang til,DISCREPANCY,2,"A,D",1,0,0,1
holde kortene tæt til kroppen,2,3,abstract misinterpretation,ikke fortælle hvordan man har det,være tilbageholdende med at give oplysninger i en (kontroversiel) sag,DISCREPANCY,2,"C,D",0,0,1,1
have gode kort på hånden,0,2,concrete misinterpretation,have en sammensætning af spillekort i hånden der giver gunstige chancer for at vinde et igangværende kortspil,have gode chancer; være i en fordelagtig situation,DISCREPANCY,2,"A,C",1,0,1,0
gennemgå med en tættekam,1,3,random definition,være på en hård prøve; være i centrum for nærgående opmærksomhed,gennemgå meget omhyggeligt,DISCREPANCY,3,"B,C,D",0,1,1,1
en sund sjæl i et sundt legeme,0,2,concrete misinterpretation,en person er både mentalt og fysisk i god form,"åndelig og legemlig sundhed hænger sammen, og begge dele skal plejes",DISCREPANCY,3,"A,B,C",1,1,1,0
bo i en kuffert,1,3,abstract misinterpretation,bo på minimal plads og med minimalt forbrug af ressourcer,"rejse eller flytte meget tit, fx fordi éns arbejde kræver det; ikke have et fast sted at bo",DISCREPANCY,3,"B,C,D",0,1,1,1
"goddag mand, økseskaft",1,3,abstract misinterpretation,bruges for at udtrykke frustration,"bruges for at udtrykke at det nogen svarer, ikke har noget med spørgsmålet at gøre og således ikke giver nogen mening",DISCREPANCY,2,"B,D",0,1,0,1
"når skidt kommer til ære, ved det ikke hvordan det skal være",1,2,concrete misinterpretation,"når noget dårligt ændrer sig til det bedre, går det alligevel ofte galt til sidst","bruges hånligt og nedladende om en person der pludseligt eller nyligt har opnået høj social status, men som ikke formår at opføre sig på passende standsmæssig vis",DISCREPANCY,2,"B,C",0,1,1,0
være sulten som en ulv,1,3,concrete misinterpretation,være lige så sulten som en ulv,være meget sulten,DISCREPANCY,2,"B,D",0,1,0,1
toppen af kransekagen,2,3,concrete misinterpretation,den øverste del af en kransekage (med pynt),det bedste eller de dygtigste inden for et bestemt område,DISCREPANCY,2,"C,D",0,0,1,1
fryse til is,0,2,concrete misinterpretation,nedkøle vand til is,bruges som udtryk for at man bliver overvældet af rædsel eller lignende,DISCREPANCY,3,"A,C,D",1,0,1,1
slå knuder på sig selv,0,1,random definition,man bør ikke overdrive eller gå til yderligheder,gøre sig store anstrengelser (for at opnå noget bestemt),DISCREPANCY,2,"A,B",1,1,0,0
vifte nogen om næsen med noget,1,2,concrete misinterpretation,vifte med noget foran nogens næse,bruge noget som lokkemad over for nogen; stille nogen noget i udsigt,DISCREPANCY,2,"B,C",0,1,1,0
heldet følger de tossede,0,3,concrete misinterpretation,tossede mennesker er heldige,"handlekraftige, (dum)dristige mennesker er ofte også heldige",DISCREPANCY,3,"A,C,D",1,0,1,1
satse alt på ét kort,0,2,concrete misinterpretation,satse alle sine penge på ét kort,satse alt på én gang,DISCREPANCY,0,,0,0,0,0
guds ord fra landet,0,2,concrete misinterpretation,religiøse udtryk der er populære i landområder,uerfaren og naiv ung pige,DISCREPANCY,0,,0,0,0,0
"når nøden er størst, er hjælpen nærmest",0,1,concrete misinterpretation,når man har voldsomt brug for hjælp er den tæt på at ankomme,"når alting ser værst ud, er det lige før det begynder at blive bedre",DISCREPANCY,2,"A,B",1,1,0,0
vise nogen vintervejen,0,2,random definition,bruge alt for stærke midler i forhold til situationen; overdrive; overreagere,afvise nogen; vende nogen ryggen,DISCREPANCY,2,"A,C",1,0,1,0
levende lig,1,3,concrete misinterpretation,person der snart vil dø,person der har det meget dårligt fysisk og psykisk,DISCREPANCY,2,"B,D",0,1,0,1
godt begyndt er halvt fuldendt,0,2,concrete misinterpretation,er man begyndt på noget er det det samme som at være halvvejs færdig med det,en god begyndelse på noget forøger muligheden for en vellykket fortsættelse og afslutning,DISCREPANCY,2,"A,C",1,0,1,0
ikke nå nogen til sokkeholderne,2,3,concrete misinterpretation,være meget lav i forhold til en anden person,have meget ringe evner i forhold til en anden,DISCREPANCY,2,"C,D",0,0,1,1
med mand og mus,1,3,abstract misinterpretation,med alle i en husstand; med alle der bor på gården,bruges for at udtrykke at ingen overlever et skibsforlis,DISCREPANCY,2,"B,D",0,1,0,1
gå til makronerne,0,1,abstract misinterpretation,"spise søde sager, fx chokolade eller kager",gå energisk i gang med noget og arbejde ihærdigt med det,DISCREPANCY,2,"A,B",1,1,0,0
lyve så stærkt som en hest kan rende,2,3,concrete misinterpretation,fortælle løgne i samme tempo som det hurtigste en hest kan løbe,lyve groft; fortælle mange løgne,DISCREPANCY,2,"C,D",0,0,1,1
æren er det fejreste træ i skoven,1,3,concrete misinterpretation,god opførsel er lige så smukt som et meget smukt træ,hæder og anerkendelse er vigtigst og går forud for andet,DISCREPANCY,2,"B,D",0,1,0,1
lægge hænderne på kogepladen,0,1,abstract misinterpretation,tage en beslutning man godt ved er ufordelagtig,"tage et forpligtende, personligt ansvar der indebærer at man selv rammes af konsekvenserne af sine beslutninger",DISCREPANCY,3,"A,B,C",1,1,1,0
dreje 180 grader,2,3,concrete misinterpretation,dreje en halv omgang,ændre til det modsatte eller til noget helt andet,DISCREPANCY,2,"C,D",0,0,1,1
skrive noget på nogens konto,0,2,concrete misinterpretation,notere en udgift til senere betaling,give nogen skylden eller lade nogen tage ansvaret for noget,DISCREPANCY,2,"A,C",1,0,1,0
"livet er kort, kunsten er lang",0,2,abstract misinterpretation,man forstår aldrig kunsten til fulde,man kan blive udødeliggjort gennem kunsten,DISCREPANCY,3,"A,C,D",1,0,1,1
hyppe sine egne kartofler,2,3,abstract misinterpretation,dyrke grøntsager i sin have til eget brug; være selvforsynende,pleje sine egne interesser,DISCREPANCY,2,"C,D",0,0,1,1
smede mens jernet er varmt,0,3,concrete misinterpretation,bearbejde jern mens det er varmt nok,udføre en handling når muligheden for et vellykket resultat er til stede,DISCREPANCY,2,"A,D",1,0,0,1
hurtig i vendingen,0,1,abstract misinterpretation,skarp; intelligent,hurtig til at handle eller reagere i en situation,DISCREPANCY,3,"A,B,C",1,1,1,0
historiens vingesus,0,1,concrete misinterpretation,hvislende eller susende lyd som historien laver,"bruges for at udtrykke en stærk oplevelse af historiens nærvær og betydning ved en bestemt lejlighed, fx ved overværelse af en historisk begivenhed mens den finder sted, eller ved tilstedeværelse dér hvor en sådan begivenhed engang fandt sted",DISCREPANCY,2,"A,B",1,1,0,0
ligne udskidt æblegrød,1,2,abstract misinterpretation,ikke gøre sig umage med sit udseende,se meget træt og sløj ud,DISCREPANCY,3,"B,C,D",0,1,1,1
ikke lutter lagkage,1,3,concrete misinterpretation,ikke blot lagkage (eller andre konditorkager),ikke kun let og behageligt og uden fortrædeligheder; ikke den rene idyl,DISCREPANCY,2,"B,D",0,1,0,1
føle sig hjemme,2,1,concrete misinterpretation,have samme fornemmelse som når man er hjemme,være tilfreds med en beskæftigelse fordi den passer godt sammen med ens tanker og ønsker,DISCREPANCY,1,C,0,0,1,0
frem og tilbage er lige langt,1,3,concrete misinterpretation,ruten ud og ruten hjem er den samme,bruges for at udtrykke ærgrelse over at der ikke er sket fremskridt trods mange anstrengelser,DISCREPANCY,2,"B,D",0,1,0,1
mange bække små gør en stor å,0,1,concrete misinterpretation,der dannes en stor å når mange små vandløb løber sammen,"mange mindre forekomster, bidrag eller lignende som hver for sig ikke udgør noget særligt, kan tilsammen udgøre noget stort eller på anden måde betydningsfuldt",DISCREPANCY,2,"A,B",1,1,0,0
glat som en ål,1,2,concrete misinterpretation,lige så glat som overfladen på en ål,undvigende og svær at fastholde i en diskussion; upålidelig,DISCREPANCY,2,"B,C",0,1,1,0
det er ikke raketvidenskab,0,1,concrete misinterpretation,det er ikke lige så prestigefyldt eller kompliceret som raketvidenskab,"det er ikke særlig kompliceret, avanceret eller svært at forstå",DISCREPANCY,2,"A,B",1,1,0,0
hellere ville brække en arm på langs end ..,0,3,abstract misinterpretation,bruges for at udtrykke modvilje og ubehag over nogens handlinger,bruges som udtryk for at nogen stiller sig totalt afvisende,DISCREPANCY,3,"A,B,D",1,1,0,1
køre sit eget løb,0,3,abstract misinterpretation,køre hurtigere end en lovbestemt hastighedsgrænse tillader,være ligeglad med andre på en uansvarlig måde; ikke bidrage til fællesskabet,DISCREPANCY,0,,0,0,0,0
efter alle kunstens regler,0,1,concrete misinterpretation,som følger en kunstarts regler,på den bedst tænkelige eller mulige måde; så alle tænkelige regler og normer er overholdt,DISCREPANCY,2,"A,B",1,1,0,0
underskrive sin egen dødsdom,1,2,concrete misinterpretation,underskrive en aftale der dømmer én selv til døden,"handle således at konsekvenserne for éns eksistens, anseelse eller lignende bliver meget alvorlige",DISCREPANCY,2,"B,C",0,1,1,0
have flossede kanter,0,2,concrete misinterpretation,være flosset langs kanten -- fx om bog,have visse fejl og mangler som ikke tidligere var der,DISCREPANCY,2,"A,C",1,0,1,0
løvens gab,2,3,concrete misinterpretation,en løves mund,meget farligt eller ubehageligt sted,DISCREPANCY,2,"C,D",0,0,1,1
hverken vådt eller tørt,0,1,concrete misinterpretation,em smule fugtigt,hverken noget drikkeligt eller noget spiseligt,DISCREPANCY,0,,0,0,0,0
jeg vil æde min hat på ..,1,2,concrete misinterpretation,være så sikker på noget at man lover at ville æde sin hat hvis det ikke passer,bruges for at forsikre tilhøreren om at ens formodning i en bestemt sag er rigtig,DISCREPANCY,2,"B,C",0,1,1,0
trække en kanin op af hatten,1,3,concrete misinterpretation,trække en kanin op af en hat -- ofte i forbindelse med tryllekunst,"gøre noget overraskende, fx komme med en ny og uventet oplysning i en debat for at skabe opmærksomhed",DISCREPANCY,2,"B,D",0,1,0,1
de tusind søers land,2,3,concrete misinterpretation,et land med tusind søer,Finland,DISCREPANCY,2,"C,D",0,0,1,1
slå nogen oven i hovedet med noget,1,3,abstract misinterpretation,"insistere på at nogen skal gøre noget bestemt, også selvom det er imod deres egne ønsker","argumentere (voldsomt) mod en andens mening, fx ved at fremhæve sin egen viden eller ved at fremføre indiskutable oplysninger",DISCREPANCY,2,"B,D",0,1,0,1
sommerfuglestøv på vingerne,0,2,concrete misinterpretation,skæl på sommerfugles vinger,uskyldighed; uberørthed,DISCREPANCY,2,"A,C",1,0,1,0
nogen vender bøtten,0,3,concrete misinterpretation,"nogen vender en beholder på hovedet, typisk for at få al indholdet ud",forholdet vendes om; noget tager en ny (og modsat) vending eller drejning,DISCREPANCY,2,"A,D",1,0,0,1
som en åben bog,2,1,abstract misinterpretation,uden overraskelser,uden besvær,DISCREPANCY,1,C,0,0,1,0
fange nogen på det forkerte ben,0,2,concrete misinterpretation,fange nogen uden de har balancen,overrumple nogen så vedkommende ikke kan nå at reagere hurtigt og rigtigt,DISCREPANCY,2,"A,C",1,0,1,0
gå på krum arm,0,1,random definition,"bruges for at udtrykke at noget foregår med stor fart, eller at noget haster",gå tæt omslyngede; være kærester,DISCREPANCY,2,"A,B",1,1,0,0
til ingen verdens nytte,0,2,concrete misinterpretation,ikke til nytte for nogen eller noget i verden,overhovedet ikke til nytte; helt overflødigt eller forgæves,DISCREPANCY,2,"A,C",1,0,1,0
der kom en mand med en slæde i vejen,1,3,concrete misinterpretation,en mand med en slæde spærrer vejen for videre færd,der dukkede pludselige eller uforudsete forhindringer op,DISCREPANCY,3,"B,C,D",0,1,1,1
give faklen videre,0,2,abstract misinterpretation,oplære nogen så de fremover kan udføre en bestemt opgave på egen hånd,"overlade et hverv, fx en formands- eller ministerpost",DISCREPANCY,2,"A,C",1,0,1,0
kunne ligge på et meget lille sted,1,2,concrete misinterpretation,være tilstrækkelig lille til at befinde sig på et lille afgrænset område,have et meget begrænset omfang,DISCREPANCY,3,"B,C,D",0,1,1,1
en orm gnaver,2,3,concrete misinterpretation,en orm spiser,noget nager én i længere tid,DISCREPANCY,2,"C,D",0,0,1,1
sætte sin hat som man vil,1,3,abstract misinterpretation,udføre noget uden at tage imod råd og vejledning fra andre,opføre eller udfolde sig uden hensyntagen til gængse normer; gøre som man vil,DISCREPANCY,2,"B,D",0,1,0,1
skulle bæres ud med fødderne først,0,3,concrete misinterpretation,være i en situation hvor det er nødvendigt at blive båret væk i en liggende stilling,"først forlade et sted eller holde op med en aktivitet når andre tvinger én dertil, eller når man dør",DISCREPANCY,2,"A,D",1,0,0,1
have et ben i hver lejr,0,3,abstract misinterpretation,være i tvivl; vakle mellem to modsatrettede holdninger,have sympati eller interessefællesskab med begge (eller alle) de uenige parter,DISCREPANCY,2,"A,D",1,0,0,1
ligne noget katten har slæbt ind,0,2,concrete misinterpretation,have et udseende tilsvarende noget en kat kunne bringe ind i et hus,se forfærdelig ud,DISCREPANCY,2,"A,C",1,0,1,0
i den bedste af alle verdener,0,2,abstract misinterpretation,i en tilstand af fuldstændig tilfredshed,i en (tænkt) situation hvor alle afgørende forhold er så gode som de kan blive,DISCREPANCY,2,"A,C",1,0,1,0
