talemaade_udtryk,predicted_label,true_label,error_category,predicted_definition,true_definition,Discrepancy,yes_count,yes_options,A_response,B_response,C_response,D_response
spille kong Gulerod,0,3,abstract misinterpretation,lave ballade; lave et stort postyr,"opføre sig på en indbildsk, overlegen eller arrogant måde",DISCREPANCY,2,"A,D",1,0,0,1
"skønne, spildte kræfter",0,2,abstract misinterpretation,oversete eller spildte chancer og muligheder,"kræfter der energisk og måske selvopofrende er sat ind på en opgave, men senere viser sig at være anvendt forgæves",DISCREPANCY,3,"A,C,D",1,0,1,1
ligge med næsen i vejret,0,3,concrete misinterpretation,ligge på ryggen,være død og begravet,DISCREPANCY,0,,0,0,0,0
have knive i ærmerne,0,2,concrete misinterpretation,"være udstyret med skjulte stikvåben -- om en jakke, skjorte eller lignende",vente på en lejlighed til at foretage et (uventet) angreb,DISCREPANCY,3,"A,C,D",1,0,1,1
give bolden op,0,1,abstract misinterpretation,fralægge sig ansvar,"sætte bolden i spil, ved spillets begyndelse eller efter en scoring",DISCREPANCY,0,,0,0,0,0
få fingrene i fedtefadet,3,1,abstract misinterpretation,"(uventet) komme i en fordelagtig situation, fx fordi man kender de rette personer","rode sig ud i en vanskelig, ubehagelig eller tvivlsom situation",DISCREPANCY,1,D,0,0,0,1
rene ord for pengene,0,3,random definition,blive vurderet og dernæst forkastet,udtalelse der ikke kan misforstås,DISCREPANCY,0,,0,0,0,0
is i maven,2,3,random definition,"stort problem eller vanskeligt emne som alle kender til og er opmærksomme på, men som ingen vil tale om","ro, tålmodighed og nøgternt overblik i en presset situation, fx når der skal træffes en beslutning",DISCREPANCY,2,"C,D",0,0,1,1
"hvad man ikke ved, har man ikke ondt af",0,2,concrete misinterpretation,man kan ikke være ked af noget man ikke kender til,det er ofte bedre at leve i uvidenhed end at kende den ubehagelige sandhed,DISCREPANCY,2,"A,C",1,0,1,0
ikke lade solen gå ned over sin vrede,0,3,concrete misinterpretation,ikke gå vred i seng,glemme eller tilgive noget man er blevet vred over,DISCREPANCY,2,"A,D",1,0,0,1
skyde sig selv i foden,0,2,concrete misinterpretation,skyde sig i foden for at gøre sig selv ukampdygtig -- historisk,ved en bevidst handling komme til at skade sig selv,DISCREPANCY,0,,0,0,0,0
våd som en druknet mus,0,3,concrete misinterpretation,lige så våd som en mus der er druknet,meget våd; gennemblødt,DISCREPANCY,2,"A,D",1,0,0,1
have kniven på struben,1,2,abstract misinterpretation,være tæt på at dø; befinde sig i en livstruende situation,"være presset til at gøre noget, fx under trusler eller med udsigt til et ubehageligt alternativ",DISCREPANCY,2,"B,C",0,1,1,0
stå med håret ned ad nakken,0,3,concrete misinterpretation,stå med sit lange hår hængende løst,stå modløs og skuffet tilbage; være blevet svigtet eller narret,DISCREPANCY,4,"A,B,C,D",1,1,1,1
uden for lands lov og ret,2,1,abstract misinterpretation,uden de regler der ellers ville gælde,i et øde område fjernt fra større byer,DISCREPANCY,1,C,0,0,1,0
trykke på pauseknappen,0,3,concrete misinterpretation,sætte noget på pause ved at trykke på en knap,midlertidigt sætte en udvikling i bero,DISCREPANCY,2,"A,D",1,0,0,1
grave grøfter,0,1,concrete misinterpretation,grave lange render langs med veje,skabe splid og uenighed mellem to parter,DISCREPANCY,2,"A,B",1,1,0,0
ramme hovedet på sømmet,1,3,abstract misinterpretation,udføre en opgave særdeles tilfredsstillende,udtrykke præcist; udtrykke det væsentlige,DISCREPANCY,2,"B,D",0,1,0,1
"ude af øje, ude af sind",1,3,abstract misinterpretation,bruges om en situation hvor man undlader at forholde sig til noget ubehageligt,"det som ikke er synligt eller nærværende, bliver hurtigt glemt",DISCREPANCY,2,"B,D",0,1,0,1
der bliver ingen bukser ud af det skind,2,3,concrete misinterpretation,det her skind er uegnet til fremstilling af bukser,"den idé, den plan, det forslag eller lignende bliver ikke til noget",DISCREPANCY,2,"C,D",0,0,1,1
sætte skibe i søen,3,1,concrete misinterpretation,sætte flere skibe i vandet,"være eller gå i gang med flere ting, fx projekter",DISCREPANCY,1,D,0,0,0,1
få lange arme,2,3,abstract misinterpretation,udvide sit netværk eller sine muligheder for at tjene penge,blive træt i armene af at bære på noget tungt,DISCREPANCY,1,C,0,0,1,0
tomme tønder buldrer mest,0,1,concrete misinterpretation,tomme tønder larmer mere end fulde tønder,"det er ofte de personer som ved mindst eller har mindst betydning, der råber mest op eller gør sig mest gældende",DISCREPANCY,2,"A,B",1,1,0,0
med skindet på næsen,1,3,abstract misinterpretation,lige netop klare sig igennem en umiddelbart umulig situation,"uden at komme galt af sted, tabe anseelse, miste sin position eller lignende; uden at miste alle sine penge eller gå fallit",DISCREPANCY,2,"B,D",0,1,0,1
gå op i en spids,0,2,abstract misinterpretation,"gå meget op i detaljer; lægge stor vægt på detaljer og nuancer, fx i forbindelse med løsningen af et problem",udvikle sig i en retning hvor ingen løsning er mulig,DISCREPANCY,0,,0,0,0,0
slå til plukfisk,1,2,abstract misinterpretation,"udråbe en person til at have den aktive rolle i en leg, fx som den der skal fange de andre i tagfat","tæske, gennembanke; ødelægge, nedbryde",DISCREPANCY,2,"B,C",0,1,1,0
varme nogens ører,0,3,abstract misinterpretation,bevirke at en person føler sig pinligt berørt,slå nogen (på siden af hovedet),DISCREPANCY,1,A,1,0,0,0
få kærligheden at føle,1,3,concrete misinterpretation,"opleve kærlighed fra en forælder, en partner eller lignende",blive ramt af ubehagelige (selvforskyldte) konsekvenser; opleve livets barske realiteter,DISCREPANCY,2,"B,D",0,1,0,1
asfaltere mens man kører,1,2,concrete misinterpretation,lægge asfalt for at skabe den vej man kører ad,tilpasse sig og tage nye beslutninger i en proces hvor vilkårene løbende ændrer sig,DISCREPANCY,2,"B,C",0,1,1,0
som en brækket arm,0,1,abstract misinterpretation,som gør en ked af det; sårende,elendigt; talentløst,DISCREPANCY,0,,0,0,0,0
man skal rejse sig ved det træ hvor man er faldet,0,1,abstract misinterpretation,uden støtte og hjælp man klarer ingenting,"man skal kæmpe sig op med samme middel som var årsag til at man led nederlag, blev skadet eller lignende",DISCREPANCY,0,,0,0,0,0
med omvendt fortegn,1,3,concrete misinterpretation,"med det modsatte fortegn, fx i matematisk opgave",karakteriseret ved at være diametralt modsat af noget på forhånd kendt eller netop omtalt,DISCREPANCY,2,"B,D",0,1,0,1
man skal ikke give bagerbørn hvedebrød,0,3,concrete misinterpretation,børn af bagere har (formentlig) fri adgang til hvidt brød,man skal ikke give nogen noget som vedkommende i forvejen har nok af eller let adgang til,DISCREPANCY,2,"A,D",1,0,0,1
have gode kort på hånden,0,2,concrete misinterpretation,have en sammensætning af spillekort i hånden der giver gunstige chancer for at vinde et igangværende kortspil,have gode chancer; være i en fordelagtig situation,DISCREPANCY,2,"A,C",1,0,1,0
gennemgå med en tættekam,1,3,random definition,være på en hård prøve; være i centrum for nærgående opmærksomhed,gennemgå meget omhyggeligt,DISCREPANCY,3,"B,C,D",0,1,1,1
en sund sjæl i et sundt legeme,0,2,concrete misinterpretation,en person er både mentalt og fysisk i god form,"åndelig og legemlig sundhed hænger sammen, og begge dele skal plejes",DISCREPANCY,2,"A,C",1,0,1,0
bo i en kuffert,1,3,abstract misinterpretation,bo på minimal plads og med minimalt forbrug af ressourcer,"rejse eller flytte meget tit, fx fordi éns arbejde kræver det; ikke have et fast sted at bo",DISCREPANCY,2,"B,D",0,1,0,1
slag på tasken,2,3,abstract misinterpretation,indholdsløs snak; samtale uden vigtigt indhold,"omtrentlig beregning af nogets størrelse, omfang eller antal",DISCREPANCY,2,"C,D",0,0,1,1
logik for burhøns,0,3,abstract misinterpretation,noget der ikke kan misforstås,noget der er yderst let at forstå,DISCREPANCY,0,,0,0,0,0
det er ikke studenterhuen der trykker,0,2,random definition,ikke have den mindste chance for noget,"bruges for at udtrykke den vurdering at den pågældende person ikke er særlig begavet, klog eller godt uddannet",DISCREPANCY,0,,0,0,0,0
"når det regner på præsten, drypper det på degnen",0,2,abstract misinterpretation,ubehagelige situationer berører oftest flere mennesker på én gang,"en persons rigdom eller succes kommer også andre, mindre betydelige personer til gode",DISCREPANCY,2,"A,C",1,0,1,0
"når skidt kommer til ære, ved det ikke hvordan det skal være",1,2,concrete misinterpretation,"når noget dårligt ændrer sig til det bedre, går det alligevel ofte galt til sidst","bruges hånligt og nedladende om en person der pludseligt eller nyligt har opnået høj social status, men som ikke formår at opføre sig på passende standsmæssig vis",DISCREPANCY,3,"B,C,D",0,1,1,1
i mørke er alle katte grå,3,1,concrete misinterpretation,"i mørke fremstår katte grå, uanset hvilken farve de måtte have","den der ikke er synlig eller ikke skiller sig ud fra mængden, forbliver anonym",DISCREPANCY,1,D,0,0,0,1
arbejde sin røv i laser,0,2,abstract misinterpretation,bruges om en situation der er præget af uro og bekymring,arbejde særdeles meget,DISCREPANCY,0,,0,0,0,0
toppen af kransekagen,2,3,concrete misinterpretation,den øverste del af en kransekage (med pynt),det bedste eller de dygtigste inden for et bestemt område,DISCREPANCY,2,"C,D",0,0,1,1
det glatte lag,0,3,abstract misinterpretation,den bedste eller mest oplagte løsning på et problem,sønderlemmende kritik; voldsomt verbalt angreb,DISCREPANCY,0,,0,0,0,0
gå i spagat over noget,0,2,abstract misinterpretation,være præget af en overdrevet trang til at udføre opgaver til perfektion,blive stærkt følelsesmæssigt påvirket af noget,DISCREPANCY,0,,0,0,0,0
fryse til is,0,2,concrete misinterpretation,nedkøle vand til is,bruges som udtryk for at man bliver overvældet af rædsel eller lignende,DISCREPANCY,0,,0,0,0,0
hive sig selv op ved håret,0,1,concrete misinterpretation,holde fast i ens hår og trække opad,gøre en kraftanstrengelse og redde sig ud af en ubehagelig situation,DISCREPANCY,0,,0,0,0,0
tabe på gulvet,0,1,concrete misinterpretation,tabe en genstand på gulvet,ødelægge eller forspilde nogens chancer eller muligheder for noget,DISCREPANCY,2,"A,B",1,1,0,0
få noget med på vejen,3,0,concrete misinterpretation,få noget med når man tager afsted,få noget fortalt af andre som man evt. kan bruge fremover,DISCREPANCY,1,D,0,0,0,1
slå knuder på sig selv,0,1,random definition,man bør ikke overdrive eller gå til yderligheder,gøre sig store anstrengelser (for at opnå noget bestemt),DISCREPANCY,3,"A,B,C",1,1,1,0
vifte nogen om næsen med noget,1,2,concrete misinterpretation,vifte med noget foran nogens næse,bruge noget som lokkemad over for nogen; stille nogen noget i udsigt,DISCREPANCY,1,B,0,1,0,0
satse alt på ét kort,0,2,concrete misinterpretation,satse alle sine penge på ét kort,satse alt på én gang,DISCREPANCY,0,,0,0,0,0
guds ord fra landet,0,2,concrete misinterpretation,religiøse udtryk der er populære i landområder,uerfaren og naiv ung pige,DISCREPANCY,0,,0,0,0,0
feje af bordet,0,2,abstract misinterpretation,tage alle stik hjem i kortspil,forkaste; afvise,DISCREPANCY,3,"A,C,D",1,0,1,1
blæse nogen en hatfuld,2,0,concrete misinterpretation,blæse hvad der svarer til en hatfuld pulver i hovedet på nogen,være helt ligeglad med nogen; ikke tage hensyn til nogen,DISCREPANCY,1,C,0,0,1,0
"når nøden er størst, er hjælpen nærmest",0,1,concrete misinterpretation,når man har voldsomt brug for hjælp er den tæt på at ankomme,"når alting ser værst ud, er det lige før det begynder at blive bedre",DISCREPANCY,2,"A,B",1,1,0,0
levende lig,0,3,random definition,være føjelig og give nogen ret selvom man ikke nødvendigvis er enig,person der har det meget dårligt fysisk og psykisk,DISCREPANCY,0,,0,0,0,0
godt begyndt er halvt fuldendt,0,2,concrete misinterpretation,er man begyndt på noget er det det samme som at være halvvejs færdig med det,en god begyndelse på noget forøger muligheden for en vellykket fortsættelse og afslutning,DISCREPANCY,2,"A,C",1,0,1,0
ikke nå nogen til sokkeholderne,1,3,abstract misinterpretation,ikke have succes med at gøre tilnærmelser til nogen,have meget ringe evner i forhold til en anden,DISCREPANCY,1,B,0,1,0,0
med mand og mus,1,3,abstract misinterpretation,med alle i en husstand; med alle der bor på gården,bruges for at udtrykke at ingen overlever et skibsforlis,DISCREPANCY,1,B,0,1,0,0
gå til makronerne,0,1,abstract misinterpretation,"spise søde sager, fx chokolade eller kager",gå energisk i gang med noget og arbejde ihærdigt med det,DISCREPANCY,0,,0,0,0,0
sådan spiller klaveret ikke,2,3,abstract misinterpretation,"bruges når nogen i et band, orkester ellerlign. spiller forkert","det er forkert, umuligt eller uacceptabelt; sådan hænger tingene ikke sammen",DISCREPANCY,2,"C,D",0,0,1,1
æren er det fejreste træ i skoven,0,3,abstract misinterpretation,higen efter anerkendelse får folk til at handle uovervejet,hæder og anerkendelse er vigtigst og går forud for andet,DISCREPANCY,1,A,1,0,0,0
med åben mund og polypper,0,2,concrete misinterpretation,med ansigtet sådan at munden er åben og polypper i næsen kan skimtes,med et meget forbavset udtryk i ansigtet,DISCREPANCY,0,,0,0,0,0
glansen går af Sankt Gertrud,0,3,abstract misinterpretation,"en person der tidligere har festet meget, får en roligere livsstil",den ydre fremtoning af skønhed og storhed forsvinder,DISCREPANCY,2,"A,D",1,0,0,1
lægge hænderne på kogepladen,0,1,abstract misinterpretation,tage en beslutning man godt ved er ufordelagtig,"tage et forpligtende, personligt ansvar der indebærer at man selv rammes af konsekvenserne af sine beslutninger",DISCREPANCY,0,,0,0,0,0
trække noget ned over hovedet på nogen,2,3,concrete misinterpretation,trække noget (typisk af stof) ned over nogens hoved,gennemføre noget mod nogens vilje eller uden at spørge den eller de implicerede; gennemtvinge noget,DISCREPANCY,2,"C,D",0,0,1,1
dreje 180 grader,2,3,concrete misinterpretation,dreje en halv omgang,ændre til det modsatte eller til noget helt andet,DISCREPANCY,2,"C,D",0,0,1,1
ikke have noget liv,0,2,concrete misinterpretation,være død; ikke længere være i live,aldrig mødes med andre mennesker i selskabeligt lag; være socialt udstødt,DISCREPANCY,0,,0,0,0,0
skrive noget på nogens konto,0,2,concrete misinterpretation,notere en udgift til senere betaling,give nogen skylden eller lade nogen tage ansvaret for noget,DISCREPANCY,2,"A,C",1,0,1,0
havkat i hyttefadet,3,0,random definition,"der er rigeligt, og der bliver ikke sparet på noget",menneske der ved nytænkning eller utraditionel væremåde skaber røre omkring sig,DISCREPANCY,1,D,0,0,0,1
leve på en sten,2,3,abstract misinterpretation,ikke følge med i nyhederne; ikke interessere sig for omverdenen,leve meget nøjsomt,DISCREPANCY,2,"C,D",0,0,1,1
"livet er kort, kunsten er lang",3,2,concrete misinterpretation,kunst varer længere tid end en enkelt persons liv,man kan blive udødeliggjort gennem kunsten,DISCREPANCY,1,D,0,0,0,1
den blå luft,3,1,random definition,"et forløb, et foretagende eller lignende er gået i stå eller har udviklet sig uheldigt",det rene ingenting,DISCREPANCY,1,D,0,0,0,1
hyppe sine egne kartofler,2,3,abstract misinterpretation,dyrke grøntsager i sin have til eget brug; være selvforsynende,pleje sine egne interesser,DISCREPANCY,2,"C,D",0,0,1,1
ligne udskidt æblegrød,1,2,abstract misinterpretation,ikke gøre sig umage med sit udseende,se meget træt og sløj ud,DISCREPANCY,3,"B,C,D",0,1,1,1
med hovedet under armen,0,3,concrete misinterpretation,med et hoved båret under den ene arm,uden at tænke sig om,DISCREPANCY,0,,0,0,0,0
ikke lutter lagkage,0,3,abstract misinterpretation,sunde snacks (og ikke kun slik og søde sager),ikke kun let og behageligt og uden fortrædeligheder; ikke den rene idyl,DISCREPANCY,3,"A,B,D",1,1,0,1
føle sig hjemme,2,1,concrete misinterpretation,have samme fornemmelse som når man er hjemme,være tilfreds med en beskæftigelse fordi den passer godt sammen med ens tanker og ønsker,DISCREPANCY,1,C,0,0,1,0
frem og tilbage er lige langt,0,3,random definition,hindre eller bekæmpe noget inden det når at udvikle sig,bruges for at udtrykke ærgrelse over at der ikke er sket fremskridt trods mange anstrengelser,DISCREPANCY,0,,0,0,0,0
