talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition
de forhåndenværende søms princip,0,1,en god begyndelse på noget forøger muligheden for en vellykket fortsættelse og afslutning,fremgangsmåde hvor man nøjes med de begrænsede midler der umiddelbart er til rådighed
krydse nogens vej,1,3,overskride nogens grænser,mødes med nogen undervejs
gå i brædderne,1,0,"forøge smerten og pinen, ofte den psykiske",blive træt (og falde i søvn); miste energi
der er synk i nogen,1,2,nogen er meget energisk eller handlekraftig,"nogen kan drikke meget, især alkohol"
nissen flytter med,3,0,traditioner forgår ikke så let,selvskabte problemer forfølger én hvis man blot flygter fra dem i stedet for at finde deres egentlige årsag
være ved sine sansers fulde brug,0,2,have kontrol med og udbytte af alle fem sanser,være i stand til at tænke klart; være tilregnelig
have spidse albuer,1,2,have ophobet vrede over længere tid,hævde sig på andres bekostning
kaste med mudder,1,2,få højdepunkter eller interessante begivenheder,tale nedsættende og fornærmende om eller til nogen
for fulde gardiner,2,3,uden adgang for offentligheden; skjult for offentligheden,for fuld kraft; uden hæmninger eller begrænsninger
med arme og ben,1,3,bruges om en aldeles fremragende præstation,af al magt; uhæmmet
med lodder og trisser,1,3,i en tilstand af udelukkelse og forladthed,"med (lidt held og) hvad man kan finde på af hjælpemidler; på bedst mulige, men ikke altid helt vellykkede måde; med kniberi"
man kan ikke klippe håret af en skaldet,1,2,blive snydt i en handel ved at købe noget ubeset og derefter opdage at det er ringere end forventet,"man kan ikke tage noget, fx penge, fra én der ingenting har"
der går tretten på dusinet af noget,1,3,bruges for at udtrykke at noget ikke er realistisk eller ikke kan eksistere i virkeligheden,"noget adskiller sig ikke fra mængden, er uden særlige kvaliteter, eller lignende"
køre med klatten,0,1,køre på en hensynsløs og uansvarlig måde,være suveræn til noget; brillere
være i ilden,1,3,være i fuld gang med at skabe eller udvikle noget nyt,være på en hård prøve; være i centrum for nærgående opmærksomhed
den åbne dørs politik,1,0,den tilgang at gæster altid er velkomne,internationalt politisk princip om at lade flere stater i et bestemt område have lige vilkår mht. handel og skibsfart
i den kolde sne,3,2,i en (større) bunke sne,i en tilstand af udelukkelse og forladthed
man kan ikke lære en gammel hund nye kunster,0,2,det er ikke muligt at oplære en hund i ny adfærd efter den har nået en vis alder,en (ældre) person med indgroede vaner har svært ved at omstille sig og lære nyt
lægge sin klamme hånd på noget,1,3,snavse noget til der ellers var rent,"bemægtige sig noget, fx penge; få magten over noget"
tampen brænder,1,0,være helt utilstrækkeligt i en bestemt henseende,man er tæt ved at nå til en erkendelse
en streg i luften,2,1,"en uventet og uønsket hændelse, handling eller lignende",en meget tynd person
bide i græsset,1,0,fremgå klart af nogens ansigtsudtryk,lide nederlag; give op; give efter
eneste hane i kurven,1,0,en kurv med flere høner men kun én hane,eneste hankønsvæsen i en gruppe eller forsamling
rive nogen noget i næsen,1,3,under falske forudsætninger få nogen til at tro på at noget forholder sig på en bestemt måde,lade nogen høre for noget; kritisere nogen for noget
"når solen går ned i en sæk, står den op i en bæk",2,1,bruges for at forsikre tilhøreren om at ens formodning i en bestemt sag er rigtig,"når solen går ned bag store, mørke skyer, kan man vente regnvejr den følgende dag"
tale samme sprog,3,0,beherske det samme sprog så man kan tale sammen uden tolk eller lign.,"have fælles opfattelse af en sag, hvilket gør det lettere at samarbejde og nå til enighed i sagen"
munden står ikke stille på nogen,1,3,nogens mund er altid i bevægelse,nogen snakker hele tiden
gøre rent bord,1,2,rydde op så bordpladen er fri og ren,bringe orden i tingene så man kan begynde på en frisk
der er ingen smalle steder,0,2,"her er der kun brede, åbne steder","der er rigeligt, og der bliver ikke sparet på noget"
gå ud som et lys,0,2,blive slukket eller afbrudt brat,pludselig miste bevidstheden
tabe både næse og mund,0,2,"vise en ukendt, ofte ubehagelig eller problematisk, men sand side af noget eller nogen, evt. sig selv",blive meget forbavset eller benovet over noget
ligge lige til højrebenet,1,3,ligge godt til at sparke med højre ben -- om bold,være en indlysende og nærliggende mulighed
tage pungen frem,0,2,fremdrage sin pengepung for at betale for bestemte varer eller en bestemt ydelse,(modvilligt) betale et stort beløb
stå malet i ansigtet på nogen,2,3,være skrevet i panden eller kinderne på nogen,fremgå klart af nogens ansigtsudtryk
vride bananen,3,2,"bruges for at angive at en reaktion kommer omgående, konsekvent og ubønhørligt",tisse
helt ude i skoven,1,2,i et øde område langt fra byer; i den vilde natur,"uden fornuft, mening eller forbindelse med virkeligheden; helt gal"
klæder skaber folk,0,2,tøj er med til at forme en persons identitet,man vurderer folk (bl.a.) ud fra deres påklædning
tage hatten af for,0,3,skabe splid eller problemer for andre; forsøge at starte en konflikt (mellem andre) for derved at opnå noget selv,udtrykke respekt eller beundring for
Lars Tyndskids mark,1,0,sted hvor hjemløse og socialt udstødte holder til,sted langt ude på landet
der må være en blonde,0,2,sørge for at fastholde nogens interesse eller indsats for noget,der er grænser for hvad man kan tillade sig
have det hele i munden,1,2,"skaffe eller samle til et bestemt formål, ofte hurtigt eller på vanskelige betingelser",kun snakke om noget i stedet for at handle
"skomager, bliv ved din læst",2,3,pas dig selv og lad være med at blande dig i andres sager,bruges for at minde om at man bør nøjes med at beskæftige sig med de ting som man har kvalifikationer til
vække den slumrende løve,1,0,vække en sovende løve,fremkalde vrede hos en ellers fredsommelig person
nogens eget kød og blod,3,0,nogens egen krop,nogens (egen) blodsbeslægtede familie
"hvor der er hjerterum, er der husrum",2,3,hvis der er gæstfrit er der også rart at bo,"gæstfrihed hører til almindelig venlighed; gode mennesker trives, selv hvor pladsen er trang"
det er lettere for en kamel at komme igennem et nåleøje end for en rig at komme ind i Guds rige,0,2,det er lettere at bevæge sig gennem en snæver passage end at komme ind i Paradis med penge eller andre værdigenstande,bruges for at udtrykke hvor svært det er for mennesket at give afkald på materielle goder til fordel for åndelige værdier
"den der ager med stude, kommer også frem",1,0,køer kan trække en vogn lige så godt som heste,"selv den der arbejder i et langsomt tempo, når sit mål"
målet helliger midlet,1,3,målet retfærdiggør metoden,et godt formål berettiger brugen af mindre fine midler
kysten er klar,1,3,finde ud af hvad man mener om en bestemt sag,der er ingen hindringer i vejen for at påbegynde en bestemt aktivitet
ligeud ad landevejen,2,3,kørselsretning uden sving og andre afvigelser fra ligeudkørsel,uden omsvøb; ukompliceret og ligetil
der går inflation i noget,0,3,priserne stiger på en specifik vare eller varetype,noget forringes eller mister prestige fordi det bliver lettere tilgængeligt eller mere udbredt
nye koste fejer bedst,1,0,"erkende at have lidt et (økonomisk) tab, mistet en mulighed eller lignende",nyt er altid bedre end gammelt blot fordi det er nyt
store ord og fedt flæsk,2,3,lange ord og fedtholdigt kød,tom snak eller tomme løfter
lyse i kuld og køn,1,0,undersøge hele kroppen,anerkende officielt
spille kong Gulerod,1,3,følge med i hvad der sker i tiden; følge moden,"opføre sig på en indbildsk, overlegen eller arrogant måde"
"skønne, spildte kræfter",0,2,oversete eller spildte chancer og muligheder,"kræfter der energisk og måske selvopofrende er sat ind på en opgave, men senere viser sig at være anvendt forgæves"
ål i strømperne,3,0,arbejde med eller koncentrere sig om én ting på bekostning af alle andre,folder i strømper der er gledet ned ad benet
ligge med næsen i vejret,1,3,melde sig syg på sin arbejdsplads uden at være det,være død og begravet
have knive i ærmerne,1,2,nogen er i en trængt og presset situation hvor vedkommende vil forsvare en holdning eller et synspunkt,vente på en lejlighed til at foretage et (uventet) angreb
man kan stille uret efter ham,1,3,stille for store krav eller forventninger,han er yderst præcis
bide nogen i haserne,1,3,se bort fra tidligere uheldige hændelser eller gerninger; begynde på en frisk,komme lige efter nogen; være meget tæt på nogen; presse nogen
det er her det sner,2,1,i en (tænkt) situation hvor alle afgørende forhold er så gode som de kan blive,det er her de vigtige eller spændende ting foregår
smage sin egen medicin,0,3,(i en diskussion) blive personlig og dermed rette angreb mod personen frem for at beskæftige sig med dennes argumenter,blive udsat for en ubehagelig behandling svarende til den man udsætter andre for
tage hul på noget,0,1,med vilje ødelægge noget som en anden person har fremstillet,begynde på at gøre noget
rene ord for pengene,1,3,det bedste af sin art,udtalelse der ikke kan misforstås
is i maven,2,3,"stort problem eller vanskeligt emne som alle kender til og er opmærksomme på, men som ingen vil tale om","ro, tålmodighed og nøgternt overblik i en presset situation, fx når der skal træffes en beslutning"
ikke lade solen gå ned over sin vrede,1,3,ikke kunne glemme eller tilgive noget ubehageligt som en anden person har gjort mod én,glemme eller tilgive noget man er blevet vred over
våd som en druknet mus,0,3,lige så våd som en mus der er druknet,meget våd; gennemblødt
ikke større end tobak for en skilling,2,0,på størrelse med den mængde tobak man kan købe for en lille sum penge,meget lille af vækst eller størrelse
født med en guldske i munden,2,3,være (unødvendigt) forkælet og arrogant over for andre,født i en velhavende familie
stå med håret ned ad nakken,2,3,komme af sted efter lang tids nølen; langt om længe tage sig sammen,stå modløs og skuffet tilbage; være blevet svigtet eller narret
uden for lands lov og ret,0,1,uden for et lands grænser og derfor ikke underlagt dets love,i et øde område fjernt fra større byer
ligge og lure i vandskorpen,1,0,forholdet vendes om; noget tager en ny (og modsat) vending eller drejning,være nært forestående eller snart bryde løs uden at ret mange venter det
den ene tjeneste er den anden værd,1,2,en tjeneste har samme værdi som en anden tjeneste,"hvis man gør andre en tjeneste, kan man forvente at de gør gengæld en anden gang"
ikke fugls føde,0,3,"vanskelig eller uigennemskuelig opgave, aktivitet ellerlign.",ingenting; intet som helst
have penge på kistebunden,1,2,der er ingen problemer eller fare,have en (stor) opsparet sum penge
ramme hovedet på sømmet,1,3,udføre en opgave særdeles tilfredsstillende,udtrykke præcist; udtrykke det væsentlige
"ude af øje, ude af sind",1,3,bruges om en situation hvor man undlader at forholde sig til noget ubehageligt,"det som ikke er synligt eller nærværende, bliver hurtigt glemt"
"ét spøg, et andet alvor",3,0,en vittighed og noget alvorligt,man bør holde det morsomme og det alvorlige ved en sag adskilt
få lange arme,1,3,have meget ringe evner i forhold til en anden,blive træt i armene af at bære på noget tungt
man skal høre meget før ørerne falder af,1,2,ørerne kan holde til meget støj; ørerne går ikke i stykker af at lytte (intenst),"bruges for at udtrykke forbavselse over at nogen kan sige eller fortælle om noget så mærkeligt, vanvittigt, sladderagtigt eller lignende"
tomme tønder buldrer mest,0,1,tomme tønder larmer mere end fulde tønder,"det er ofte de personer som ved mindst eller har mindst betydning, der råber mest op eller gør sig mest gældende"
med skindet på næsen,1,3,lige netop klare sig igennem en umiddelbart umulig situation,"uden at komme galt af sted, tabe anseelse, miste sin position eller lignende; uden at miste alle sine penge eller gå fallit"
gå op i en spids,0,2,"gå meget op i detaljer; lægge stor vægt på detaljer og nuancer, fx i forbindelse med løsningen af et problem",udvikle sig i en retning hvor ingen løsning er mulig
der er løbet meget vand gennem åen siden ..,3,0,meget vand er løbet gennem en å i en specifik tidsperiode,"noget der passer godt med nogens ønsker, hensigter eller meninger"
slå til plukfisk,0,2,"slække på sine ønsker, krav eller principper","tæske, gennembanke; ødelægge, nedbryde"
varme nogens ører,0,3,bevirke at en person føler sig pinligt berørt,slå nogen (på siden af hovedet)
få kærligheden at føle,1,3,"opleve kærlighed fra en forælder, en partner eller lignende",blive ramt af ubehagelige (selvforskyldte) konsekvenser; opleve livets barske realiteter
ben i næsen,1,0,mindske ambitionerne eller kravene; sænke standarden,"(være) dygtig, viljestærk og god til at klare sig"
være karl for sin hat,0,3,optræde selvsikker og kompetent selvom man ikke er det,være selvsikker og kompetent
som en brækket arm,3,1,nøjagtig lige så smertefuldt som at få et knoglebrud i armen,elendigt; talentløst
koste spidsen af en jetjager,1,3,koste det samme som de yderst placerede dele på en jetjager,være urimelig dyr
tabe småkagerne,1,0,give efter for andres pres; lade sig overtale,miste forstanden eller besindelsen; gøre eller sige noget dumt
med omvendt fortegn,1,3,"med det modsatte fortegn, fx i matematisk opgave",karakteriseret ved at være diametralt modsat af noget på forhånd kendt eller netop omtalt
ikke være til at styre på en hel tønde land,3,1,ikke være til at kontrollere på et specifikt område,"være meget begejstret, engageret eller ustyrlig, fx i forbindelse med en leg eller en diskussion"
gennemgå med en tættekam,1,3,være på en hård prøve; være i centrum for nærgående opmærksomhed,gennemgå meget omhyggeligt
bo i en kuffert,1,3,bo på minimal plads og med minimalt forbrug af ressourcer,"rejse eller flytte meget tit, fx fordi éns arbejde kræver det; ikke have et fast sted at bo"
slag på tasken,1,3,den ydre fremtoning af skønhed og storhed forsvinder,"omtrentlig beregning af nogets størrelse, omfang eller antal"
logik for burhøns,1,3,selvforstærkende uheldig situation som man ikke umiddelbart kan komme ud af,noget der er yderst let at forstå
det er ikke studenterhuen der trykker,0,2,ikke have den mindste chance for noget,"bruges for at udtrykke den vurdering at den pågældende person ikke er særlig begavet, klog eller godt uddannet"
"når det regner på præsten, drypper det på degnen",0,2,ubehagelige situationer berører oftest flere mennesker på én gang,"en persons rigdom eller succes kommer også andre, mindre betydelige personer til gode"
komme ind med firetoget,1,3,så hurtigt eller kraftfuldt som muligt,"komme udefra, fx fra Provinsen til København, som ung og uerfaren og derfor lidt naiv"
"når skidt kommer til ære, ved det ikke hvordan det skal være",1,2,"når noget dårligt ændrer sig til det bedre, går det alligevel ofte galt til sidst","bruges hånligt og nedladende om en person der pludseligt eller nyligt har opnået høj social status, men som ikke formår at opføre sig på passende standsmæssig vis"
det glatte lag,0,3,den bedste eller mest oplagte løsning på et problem,sønderlemmende kritik; voldsomt verbalt angreb
gå i spagat over noget,1,2,vise sin begejstring for noget ved at gå i spagat,blive stærkt følelsesmæssigt påvirket af noget
penge lugter ikke,0,3,pengesedler og mønter har ingen lugt,"penge har deres værdi uanset hvorfra de stammer, eller hvordan de er tjent"
slå knuder på sig selv,0,1,man bør ikke overdrive eller gå til yderligheder,gøre sig store anstrengelser (for at opnå noget bestemt)
heldet følger de tossede,2,3,"held afhænger af tilfældigheder, ikke arbejdsomhed, status, forbindelser eller lignende","handlekraftige, (dum)dristige mennesker er ofte også heldige"
tanker er toldfri,0,2,der er ingen toldafgift på tanker,ingen bliver straffet for sine tanker
nogens mund er lukket med syv segl,1,0,nogens læber er syet sammen med syv sting,en person røber intet
guds ord fra landet,3,2,"alt er som det skal være, trods trusler og farer",uerfaren og naiv ung pige
have jord under neglene,1,2,"føre en tanke, idé eller aktivitet ud i sin yderste konsekvens",have praktisk erfaring med landbrugs- eller havearbejde; udføre fysisk krævende arbejde
vise nogen vintervejen,0,2,bruge alt for stærke midler i forhold til situationen; overdrive; overreagere,afvise nogen; vende nogen ryggen
krølle på halen,1,0,(generende) fejl i et strikket arbejde,overraskende eller finurlig (afsluttende) detalje i en historie eller lignende
levende lig,1,3,person der snart vil dø,person der har det meget dårligt fysisk og psykisk
sætte himmel og hav i bevægelse,1,3,"skjule, hemmeligholde eller fortie noget",foretage sig alt muligt for at nå et bestemt mål
bestemme hvor skabet skal stå,3,2,tage den endelige beslutning om hvor et skab skal placeres,være den der bestemmer og har det sidste ord
ikke nå nogen til sokkeholderne,1,3,ikke have succes med at gøre tilnærmelser til nogen,have meget ringe evner i forhold til en anden
med mand og mus,0,3,protestere (hvis det havde været muligt) mod forhold i nutiden som strider mod den pågældendes vilje eller holdninger,bruges for at udtrykke at ingen overlever et skibsforlis
et vink med en vognstang,0,1,blive udsat for eller udsætte nogen for problemer eller besværligheder,"et indirekte, men tydeligt tegn til nogen om at forholde sig på en bestemt måde eller om hvordan noget forholder sig; et tydeligt praj"
lyve så stærkt som en hest kan rende,1,3,"noget er (næsten) værdiløst, indholdsløst, ubrugeligt eller lignende",lyve groft; fortælle mange løgne
ikke være tabt bag en vogn,1,2,som ikke er umulig at løse eller gennemføre trods modstand,ikke være rådvild; være klog
æren er det fejreste træ i skoven,1,3,god opførsel er lige så smukt som et meget smukt træ,hæder og anerkendelse er vigtigst og går forud for andet
tage ordet ud af munden på nogen,1,2,miste forstanden eller besindelsen; gøre eller sige noget dumt,sige det som en anden ville have sagt
med åben mund og polypper,0,2,med ansigtet sådan at munden er åben og polypper i næsen kan skimtes,med et meget forbavset udtryk i ansigtet
den sne der faldt i fjor,1,0,den sne der faldt sidste år,"bruges om hvad der nu er forsvundet, glemt eller uden interesse"
puste i nakken,1,0,altid være i nogens bevidsthed,overvåge; kontrollere
trække noget ned over hovedet på nogen,1,3,"jo tidligere en hjælp ydes, desto mere effektiv er den",gennemføre noget mod nogens vilje eller uden at spørge den eller de implicerede; gennemtvinge noget
have en skrue løs,1,0,have en skrue der ikke er skruet tilstrækkeligt fast,være (lidt) skør eller forvirret; ikke være rigtig vel forvaret
gøre kort proces,1,2,nægte at adlyde; sige nej til et forslag eller påbud,"handle hurtigt og uden omsvøb, ofte sådan at det går ud over andre"
så er det bal forbi,0,3,"En større, festlig arrangement med dans er afsluttet",så er det slut (med at more sig)
ikke have noget liv,1,2,ikke have husdyr eller kæledyr på sin gård eller i sin bolig,aldrig mødes med andre mennesker i selskabeligt lag; være socialt udstødt
i en snæver vending,1,0,i en drejende bevægelse der er skarpvinklet,i en situation hvor man har lidt travlt og er i bekneb; når det skal gå lidt hurtigt og være lidt nemt
vende sig i sin grav,1,3,på et eller andet tidspunkt skal man gøre noget som man ikke har gjort før,protestere (hvis det havde været muligt) mod forhold i nutiden som strider mod den pågældendes vilje eller holdninger
sætte det lange ben foran,1,0,"den der kritiserer nogen eller gør nogen fortræd, rammes selv endnu hårdere",gå hurtigt; skynde sig
lade fem og syv være lige,0,3,have et talsystem hvor fem og syv repræsenterer samme værdi,udvise ligegyldighed eller skødesløshed
sætte en ny plade på grammofonen,3,2,afspille musik fra en ny plade på en grammofon,sige eller skrive noget andet end det man har sagt eller skrevet mange gange før
leve på en sten,1,3,være tilfreds med en beskæftigelse fordi den passer godt sammen med ens tanker og ønsker,leve meget nøjsomt
"livet er kort, kunsten er lang",3,2,kunst varer længere tid end en enkelt persons liv,man kan blive udødeliggjort gennem kunsten
med bred pensel,3,2,med brede penselstrøg,uden at gå i detaljer
hyppe sine egne kartofler,0,3,intet er overladt til tilfældighederne; der er ikke noget at diskutere,pleje sine egne interesser
smede mens jernet er varmt,1,3,beslutte noget ud fra en intuitiv fornemmelse,udføre en handling når muligheden for et vellykket resultat er til stede
ikke kende nogen landegrænser,1,0,ikke være klar over hvor en landegrænse går,"spredes eller bevæge sig frit inden for et større område, uafhængigt af grænser"
hellere lille og vågen end stor og doven,3,1,det er at foretrække at være lille og vågen fremfor stor og doven,det går udmærket an at være lille af vækst når man blot er kvik og energisk
langt mellem snapsene,1,0,man vinder en mands kærlighed ved at lave god mad til ham,få højdepunkter eller interessante begivenheder
ligne udskidt æblegrød,3,2,have samme konsistens og udseende som afføring ved dårlig mave,se meget træt og sløj ud
med hovedet under armen,1,3,med stor velvilje,uden at tænke sig om
ikke lutter lagkage,1,3,ikke blot lagkage (eller andre konditorkager),ikke kun let og behageligt og uden fortrædeligheder; ikke den rene idyl
frem og tilbage er lige langt,1,3,ruten ud og ruten hjem er den samme,bruges for at udtrykke ærgrelse over at der ikke er sket fremskridt trods mange anstrengelser
gå op i sømmene,1,0,gå unødigt meget op i (ubetydelige) detaljer,bryde psykisk sammen; gå amok
glat som en ål,1,2,lige så glat som overfladen på en ål,undvigende og svær at fastholde i en diskussion; upålidelig
mele sin egen kage,3,2,"den idé, den plan, det forslag eller lignende bliver ikke til noget",pleje sine egne interesser uden at tage hensyn til andre; kun tænke på sig selv
gå forkert i byen,1,0,"kede sig i samvær med andre, fx på en bytur",tage fejl
hellere ville brække en arm på langs end ..,1,3,være villig til at få et kompliceret knoglebrud i armen for at undgå en situation,bruges som udtryk for at nogen stiller sig totalt afvisende
køre sit eget løb,1,3,deltage i et væddeløb som man selv har arrangeret,være ligeglad med andre på en uansvarlig måde; ikke bidrage til fællesskabet
skide grønne grise,0,2,bruges for at udtrykke hvor svært det er for mennesket at give afkald på materielle goder til fordel for åndelige værdier,"være meget bange, nervøs eller lignende"
det skal du længere ud på landet med,1,2,denne genstand hører til i et område længere væk fra byen end her,"bruges for at udtrykke at man ikke tror på det samtalepartneren siger, fordi det er for usandsynligt eller løgnagtigt"
underskrive sin egen dødsdom,0,2,give køb på egne holdninger og principper i en større sags tjeneste,"handle således at konsekvenserne for éns eksistens, anseelse eller lignende bliver meget alvorlige"
have flossede kanter,1,2,"gøre en konflikt eller spændt situation værre, fx ved at komme med provokerende bemærkninger",have visse fejl og mangler som ikke tidligere var der
komme ud af fjerene,0,2,hellere begynde på noget ubehageligt eller vanskeligt straks og få det overstået end udskyde det,(med besvær) stå ud af sin seng om morgenen
få svesken på disken,0,3,uden virkning; forgæves,meddele noget åbent og uden omsvøb; få sandheden på bordet
tone rent flag,1,2,"spille den tone der kaldes ""rent flag""",åbent og ærligt give udtryk for sine holdninger eller hensigter i stedet for at lægge skjul på dem
drikke nogen under bordet,1,2,få nogen til at drikke så meget at de falder ned af deres stol og lander under bordet,drikke alkoholiske drikke (om kap) sammen med nogen så denne drikker for meget
smage som at række tungen ud ad vinduet,2,3,opleves grænseoverskridende og forkert,ikke smage af noget; være kedelig eller uinteressant i smagen
sælge sand i Sahara,1,2,"besejre, overvinde; forhindre i at gøre sig gældende","være meget dygtig til at sælge, især en vare som allerede findes til overflod og derfor ikke er efterspurgt"
ikke født i går,1,0,ikke født for én dag siden,ikke dum eller naiv; ikke uden evner
tage noget tungt,0,1,begynde på en stor og evt. besværlig opgave,ærgre sig over noget eller være ked af noget
nære en slange ved sin barm,1,3,"bruges for at udtrykke forbavselse over at nogen kan sige eller fortælle om noget så mærkeligt, vanvittigt, sladderagtigt eller lignende",være venlig over for eller lave aftaler med nogen som senere opfører sig fjendtligt over for én
jeg vil æde min hat på ..,1,2,være så sikker på noget at man lover at ville æde sin hat hvis det ikke passer,bruges for at forsikre tilhøreren om at ens formodning i en bestemt sag er rigtig
ikke vide hvor man skal ende og begynde,2,1,være i tvivl om hvordan man starter og derefter også afslutter noget,ikke vide hvordan man skal handle eller komme i gang med noget
i sit ansigts sved,2,1,med sved løbende ned ad ansigtet pga. voldsom varme eller anstrengelse,under store anstrengelser
de tusind søers land,1,3,et land præget af rigdom og overflod,Finland
slå nogen oven i hovedet med noget,1,3,"insistere på at nogen skal gøre noget bestemt, også selvom det er imod deres egne ønsker","argumentere (voldsomt) mod en andens mening, fx ved at fremhæve sin egen viden eller ved at fremføre indiskutable oplysninger"
sommerfuglestøv på vingerne,1,2,være nært forestående eller snart bryde løs uden at ret mange venter det,uskyldighed; uberørthed
være med på noderne,1,0,"kunne det man skal spille, udenad",følge med i hvad der sker i tiden; følge moden
som en åben bog,2,1,uden overraskelser,uden besvær
holde gryden i kog,0,2,opretholde en så høj temperatur på en væske i en gryde at væsken fortsat er i kog,gøre noget for at holde en interesse eller et engagement ved lige eller en aktivitet i gang
skyde over målet,2,0,ramme over et tiltænkt mål,ikke være rammende i sine udtalelser; overdrive
der er ikke nogen hjemme,3,2,en ellers beboet bolig er tom,nogen er ikke særlig smart eller intelligent; nogen er (lidt) dum
verdens tag,1,2,centralt sted for alle mennesker,"meget højtliggende bjergområde, især (land eller område i) Himalaya eller Pamir"
mosekonen brygger,2,1,noget ildevarslende er under opsejling; nogen smeder rænker,det er tåget
der kom en mand med en slæde i vejen,1,3,en mand med en slæde spærrer vejen for videre færd,der dukkede pludselige eller uforudsete forhindringer op
ved sine fulde fem,1,2,ifølge samtlige fem sanser,i stand til at tænke klart; tilregnelig
give den en skalle,1,2,forhindre noget i at lykkes; ødelægge noget,gøre en kraftig arbejdsindsats
kunne ligge på et meget lille sted,1,2,være tilstrækkelig lille til at befinde sig på et lille afgrænset område,have et meget begrænset omfang
bide skeer med,0,3,man kan tage det roligt; man behøver ikke at skynde sig så meget,have at gøre med; handle eller arbejde sammen med; konkurrere med
skære ind til benet,1,0,tale nedsættende og i vrede vendinger,reducere omkostningerne til noget mest muligt
