talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
ligge med næsen i vejret,0,3,ligge på ryggen,være død og begravet,DISCREPANCY
rene ord for pengene,1,3,det bedste af sin art,udtalelse der ikke kan misforstås,DISCREPANCY
is i maven,2,3,"stort problem eller vanskeligt emne som alle kender til og er opmærksomme på, men som ingen vil tale om","ro, tålmodighed og nøgternt overblik i en presset situation, fx når der skal træffes en beslutning",DISCREPANCY
"hvad man ikke ved, har man ikke ondt af",0,2,man kan ikke være ked af noget man ikke kender til,det er ofte bedre at leve i uvidenhed end at kende den ubehagelige sandhed,DISCREPANCY
ikke lade solen gå ned over sin vrede,0,3,ikke gå vred i seng,glemme eller tilgive noget man er blevet vred over,DISCREPANCY
stå med håret ned ad nakken,2,3,komme af sted efter lang tids nølen; langt om længe tage sig sammen,stå modløs og skuffet tilbage; være blevet svigtet eller narret,DISCREPANCY
uden for lands lov og ret,2,1,uden de regler der ellers ville gælde,i et øde område fjernt fra større byer,DISCREPANCY
"ét spøg, et andet alvor",3,0,en vittighed og noget alvorligt,man bør holde det morsomme og det alvorlige ved en sag adskilt,DISCREPANCY
få lange arme,2,3,udvide sit netværk eller sine muligheder for at tjene penge,blive træt i armene af at bære på noget tungt,DISCREPANCY
med skindet på næsen,1,3,lige netop klare sig igennem en umiddelbart umulig situation,"uden at komme galt af sted, tabe anseelse, miste sin position eller lignende; uden at miste alle sine penge eller gå fallit",DISCREPANCY
gå op i en spids,0,2,"gå meget op i detaljer; lægge stor vægt på detaljer og nuancer, fx i forbindelse med løsningen af et problem",udvikle sig i en retning hvor ingen løsning er mulig,DISCREPANCY
der er løbet meget vand gennem åen siden ..,3,0,meget vand er løbet gennem en å i en specifik tidsperiode,"noget der passer godt med nogens ønsker, hensigter eller meninger",DISCREPANCY
varme nogens ører,0,3,bevirke at en person føler sig pinligt berørt,slå nogen (på siden af hovedet),DISCREPANCY
en sund sjæl i et sundt legeme,0,2,en person er både mentalt og fysisk i god form,"åndelig og legemlig sundhed hænger sammen, og begge dele skal plejes",DISCREPANCY
trække tænderne ud,2,1,pine sig selv eller andre,svække alvorligt; gøre uskadelig,DISCREPANCY
det er ikke studenterhuen der trykker,1,2,studenterhuen har den korrekte størrelse og derfor passer fint hele vejen rundt om hovedet,"bruges for at udtrykke den vurdering at den pågældende person ikke er særlig begavet, klog eller godt uddannet",DISCREPANCY
"når det regner på præsten, drypper det på degnen",0,2,ubehagelige situationer berører oftest flere mennesker på én gang,"en persons rigdom eller succes kommer også andre, mindre betydelige personer til gode",DISCREPANCY
komme ind med firetoget,2,3,ankomme i (alt for) god tid til en middag eller et aftenarrangement,"komme udefra, fx fra Provinsen til København, som ung og uerfaren og derfor lidt naiv",DISCREPANCY
gå i spagat over noget,1,2,vise sin begejstring for noget ved at gå i spagat,blive stærkt følelsesmæssigt påvirket af noget,DISCREPANCY
heldet følger de tossede,0,3,tossede mennesker er heldige,"handlekraftige, (dum)dristige mennesker er ofte også heldige",DISCREPANCY
guds ord fra landet,0,2,religiøse udtryk der er populære i landområder,uerfaren og naiv ung pige,DISCREPANCY
med mand og mus,1,3,med alle i en husstand; med alle der bor på gården,bruges for at udtrykke at ingen overlever et skibsforlis,DISCREPANCY
bide til bollen,1,0,tage en bid af en bolle,modstræbende indvillige i noget,DISCREPANCY
glansen går af Sankt Gertrud,0,3,"en person der tidligere har festet meget, får en roligere livsstil",den ydre fremtoning af skønhed og storhed forsvinder,DISCREPANCY
puste i nakken,2,0,"stå så tæt på en anden person at den luft man udånder, rammer vedkommende i nakken",overvåge; kontrollere,DISCREPANCY
gøre kort proces,3,2,handle hurtigt og effektivt,"handle hurtigt og uden omsvøb, ofte sådan at det går ud over andre",DISCREPANCY
"livet er kort, kunsten er lang",3,2,kunst varer længere tid end en enkelt persons liv,man kan blive udødeliggjort gennem kunsten,DISCREPANCY
med bred pensel,3,2,med brede penselstrøg,uden at gå i detaljer,DISCREPANCY
hellere lille og vågen end stor og doven,3,1,det er at foretrække at være lille og vågen fremfor stor og doven,det går udmærket an at være lille af vækst når man blot er kvik og energisk,DISCREPANCY
ligne udskidt æblegrød,3,2,have samme konsistens og udseende som afføring ved dårlig mave,se meget træt og sløj ud,DISCREPANCY
føle sig hjemme,2,1,have samme fornemmelse som når man er hjemme,være tilfreds med en beskæftigelse fordi den passer godt sammen med ens tanker og ønsker,DISCREPANCY
hellere ville brække en arm på langs end ..,1,3,være villig til at få et kompliceret knoglebrud i armen for at undgå en situation,bruges som udtryk for at nogen stiller sig totalt afvisende,DISCREPANCY
have flossede kanter,0,2,være flosset langs kanten -- fx om bog,have visse fejl og mangler som ikke tidligere var der,DISCREPANCY
smage som at række tungen ud ad vinduet,0,3,have en kølig og frisk smag; være forfriskende,ikke smage af noget; være kedelig eller uinteressant i smagen,DISCREPANCY
riste over en sagte ild,3,1,fremstille eller udvikle over lang tid,udsætte for et langvarigt og ubehageligt pres,DISCREPANCY
tage noget tungt,0,1,begynde på en stor og evt. besværlig opgave,ærgre sig over noget eller være ked af noget,DISCREPANCY
jeg vil æde min hat på ..,1,2,være så sikker på noget at man lover at ville æde sin hat hvis det ikke passer,bruges for at forsikre tilhøreren om at ens formodning i en bestemt sag er rigtig,DISCREPANCY
i sit ansigts sved,2,1,med sved løbende ned ad ansigtet pga. voldsom varme eller anstrengelse,under store anstrengelser,DISCREPANCY
sommerfuglestøv på vingerne,0,2,skæl på sommerfugles vinger,uskyldighed; uberørthed,DISCREPANCY
nogen vender bøtten,0,3,"nogen vender en beholder på hovedet, typisk for at få al indholdet ud",forholdet vendes om; noget tager en ny (og modsat) vending eller drejning,DISCREPANCY
slå hovedet på sømmet,3,0,ramme et søm præcist med en hammer,være afgørende eller udslagsgivende,DISCREPANCY
som en åben bog,3,1,lige så nem at gå til som en bog der allerede er åben,uden besvær,DISCREPANCY
give faklen videre,0,2,oplære nogen så de fremover kan udføre en bestemt opgave på egen hånd,"overlade et hverv, fx en formands- eller ministerpost",DISCREPANCY
give den en skalle,3,2,ramme noget med toppen af hovedet,gøre en kraftig arbejdsindsats,DISCREPANCY
bide skeer med,0,3,man kan tage det roligt; man behøver ikke at skynde sig så meget,have at gøre med; handle eller arbejde sammen med; konkurrere med,DISCREPANCY
have ild i enden,3,1,brænde i den ene ende,fare omkring; være meget foretagsom,DISCREPANCY
give sorteper videre,3,2,give kortet sorteper til en anden spiller som i kortspillet af samme navn er dårligt at sidde med,lade nogle ubehagelige omstændigheder gå ud over andre; overlade ansvaret for en ubehagelig afgørelse til en anden,DISCREPANCY
koge suppe på en pølsepind,0,1,(forsøge at) lave suppe ud af meget lidt,beskæftige sig med eller behandle et ubetydeligt eller overflødigt emne,DISCREPANCY
så slutter festen,2,1,nu er tidspunktet kommet hvor festen er forbi,på dette tidspunkt er det positive eller glædelige forbi,DISCREPANCY
have en aktie i,1,3,"være involveret i en sag eller et foretagende, ofte uønsket eller uforskyldt",være aktiv deltager i; have indflydelse på,DISCREPANCY
træde op på den store klinge,1,3,skifte til højeste gear,anstrenge sig; arbejde hårdt,DISCREPANCY
apostlenes heste,1,3,bruges i udtryk for at arbejde hårdt,"benene, brugt til at gå på",DISCREPANCY
sejle på varmen,2,0,udnytte andres godgørenhed til egen vinding; drage fordel af noget på bekostning af andre,"sejle i de varme lande, i troperne",DISCREPANCY
en køn plante,1,0,"person som er smuk, omsorgsfuld, god eller lignende",en uopdragen eller på anden måde ubehagelig person,DISCREPANCY
så let som at klø sig selv i nakken,3,1,uden større anstrengelse end den det kræver at klø sig i nakken,uhyre nemt,DISCREPANCY
til at komme i papirmøllen,2,3,klar til at blive trykt (og publiceret),ubrugelig; kassabel,DISCREPANCY
lugten i bageriet,2,3,den lugt der er i et bageri,"reglerne, forholdene og atmosfæren et bestemt sted",DISCREPANCY
sagen er bøf,0,2,nogen bliver eller vil blive skældt voldsomt ud pga. en begået forseelse,sagen er i orden,DISCREPANCY
have bly i røven,3,1,være øm i endeballernes muskler pga. træning,være meget langsom,DISCREPANCY
den sorte klap går ned,1,2,bruges for at udtrykke at en person pludselig mister besindelsen; voldsomt raseri,bruges for at udtrykke at en person pludselig ikke kan huske noget bestemt,DISCREPANCY
slå op i banen,0,2,ufortrødent og ihærdigt gå i gang med en (vanskelig) opgave,(pludselig) miste koncentrationen og evnen til at levere en god præstation; sætte farten ned og overlade initiativet til andre,DISCREPANCY
sidde med livet i hænderne,2,3,være i livsfare; befinde sig i en livstruende situation,"være meget nervøs, spændt eller bange",DISCREPANCY
"se sol, måne og stjerner",0,1,kunne overskue en kompleks sag eller situation,være i en tilstand af stor nydelse eller stor smerte,DISCREPANCY
finde sine egne ben,1,3,blive dygtigere indenfor et specifikt (fagligt) emne,finde ud af hvad man mener om en bestemt sag,DISCREPANCY
slå til søren,1,0,"samfundslivet eller erhvervslivet med den hektiske, opslidende aktivitet som det er forbundet med",bruge (mange) penge,DISCREPANCY
på éns glatte ansigt,2,3,"i en usikker, risikofyldt eller vanskelig situation; i knibe",med et tillidvækkende ydre som eneste garanti,DISCREPANCY
save den gren over man selv sidder på,3,0,sidde på en gren man er i færd med at save over,handle til skade for sig selv; ødelægge sine muligheder for fortsat beskæftigelse,DISCREPANCY
som skidt fra en spædekalv,0,3,som afføring fra en nyfødt kalv,hurtigt og i en stor mængde,DISCREPANCY
bukke begge ender sammen på,1,0,bøje en genstand så enderne mødes,give en omgang tæsk,DISCREPANCY
ride sin kæphest,1,3,dyrke en hobby; beskæftige sig med noget som man finder særligt interessant,(igen) give udtryk for sin velkendte mening eller tale om et bestemt emne,DISCREPANCY
man kan også købe guld for dyrt,3,0,man kan risikere at betale mere for guld end hvad de aktuelle guldpriser foreskriver,"det at blive velhavende kan have for store menneskelige omkostninger, fx tabet af væsentlige åndelige værdier",DISCREPANCY
have både til gården og til gaden,2,1,have nok til alle; have rigelige mængder,have en stor bagdel og en stor barm,DISCREPANCY
hælde ned ad brættet,1,3,"tippe et bræt så det der ligger på det, falder ned",afvise fuldstændig,DISCREPANCY
ingen kæde er stærkere end det svageste led,1,3,hvis et led i en kæde er svagt er hele kæden svag,selv det bedste er utilstrækkeligt hvis blot en enkelt detalje er mangelfuld,DISCREPANCY
fyre kanonen af,2,1,"bringe et afgørende og tungtvejende argument i en debat, en retssag eller lignende",skyde på mål i fodbold eller håndbold; ramme bolden hårdt i boldspil,DISCREPANCY
det muntre køkken,1,3,et køkken hvor der hersker en glad stemning,"bruges om en ustyrlig, meget livlig og evt. ødelæggende aktivitet eller gruppe af personer",DISCREPANCY
det melder historien ikke noget om,0,1,det er ikke en del af historien,"noget bestemt hører ikke til beretningen eller sagen, fx fordi det er uvedkommende, hemmeligt eller omstridt",DISCREPANCY
hu hej vilde dyr,3,0,"ukontrolleret og med højt energiniveau -- om begivenhed, handling ellerlign.","bruges for at udtrykke at noget foregår med stor fart, eller at noget haster",DISCREPANCY
vende og dreje hver femøre,0,3,være meget nærig; overveje sit pengeforbrug meget nøje,være meget sparsommelig,DISCREPANCY
tale for sin syge moster,3,1,tale på en måde der er komplet uforståelig for andre; vrøvle,"snakke løs for at opnå noget bestemt, fremme sine egne interesser eller lignende",DISCREPANCY
til den store guldmedalje,0,3,i rigelige mængder; i overmål,"energisk, dygtigt eller med held",DISCREPANCY
